iteration,makespan,bks,optimality gap,rolling_avg,reward_mean
1,2984.26,1937.0,54.07,54.07,2.3089
2,3042.57,1937.0,57.08,55.57,2.0949
3,3018.18,1937.0,55.82,55.65,2.7374
4,3009.12,1937.0,55.35,55.58,11.9374
5,2999.17,1937.0,54.84,55.43,20.2202
6,3026.65,1937.0,56.25,55.87,12.3455
7,3000.59,1937.0,54.91,55.43,9.9152
8,2991.59,1937.0,54.44,55.16,11.3313
9,2982.95,1937.0,54.00,54.89,13.6242
10,2967.59,1937.0,53.21,54.56,19.7677
11,2974.71,1937.0,53.57,54.03,21.1636
12,2939.88,1937.0,51.77,53.40,25.5859
13,2916.24,1937.0,50.55,52.62,26.6283
14,2937.33,1937.0,51.64,52.15,23.2020
15,2929.43,1937.0,51.24,51.76,31.8000
16,2859.49,1937.0,47.62,50.57,34.0949
17,2891.60,1937.0,49.28,50.07,30.1818
