iteration,makespan,bks,optimality gap,rolling_avg,reward_mean
128,6060.15,5181.0,16.97,16.65,746.0263
129,6060.15,5181.0,16.97,16.76,746.0263
130,6066.06,5181.0,17.08,16.89,743.6121
131,6066.06,5181.0,17.08,17.01,743.6121
132,6065.17,5181.0,17.07,17.03,743.8525
133,6026.21,5181.0,16.31,16.90,749.2970
134,6026.21,5181.0,16.31,16.77,749.2970
135,6026.29,5181.0,16.32,16.62,750.8101
136,5991.80,5181.0,15.65,16.33,751.6020
137,5991.80,5181.0,15.65,16.05,751.6020
138,5994.43,5181.0,15.70,15.93,750.5717
139,5999.07,5181.0,15.79,15.82,750.9293
140,5999.07,5181.0,15.79,15.72,750.9293
141,6012.39,5181.0,16.05,15.80,751.3859
142,6024.66,5181.0,16.28,15.92,751.1495
143,6024.66,5181.0,16.28,16.04,751.1495
144,5995.68,5181.0,15.72,16.03,753.6303
145,5995.96,5181.0,15.73,16.01,754.1313
146,5995.96,5181.0,15.73,15.95,754.1313
147,5973.99,5181.0,15.31,15.75,753.7475
148,5973.99,5181.0,15.31,15.56,753.7475
149,5973.99,5181.0,15.31,15.48,753.7475
150,6001.30,5181.0,15.83,15.50,756.8101
151,6001.30,5181.0,15.83,15.52,756.8101
152,6001.30,5181.0,15.83,15.62,756.8101
153,5998.82,5181.0,15.78,15.72,757.4121
154,5998.82,5181.0,15.78,15.81,757.4121
155,5995.85,5181.0,15.73,15.79,757.0121
156,6005.66,5181.0,15.92,15.81,756.3192
157,6005.66,5181.0,15.92,15.83,756.3192
158,6016.08,5181.0,16.12,15.89,757.0222
159,6016.72,5181.0,16.13,15.96,761.5495
160,6016.72,5181.0,16.13,16.04,761.5495
161,5991.32,5181.0,15.64,15.99,761.1131
162,5961.60,5181.0,15.07,15.82,762.3859
163,5961.60,5181.0,15.07,15.61,762.3859
164,5973.71,5181.0,15.30,15.44,758.3434
165,5982.98,5181.0,15.48,15.31,757.4444
166,5982.98,5181.0,15.48,15.28,757.4444
167,5982.98,5181.0,15.48,15.36,759.5475
168,5983.75,5181.0,15.49,15.45,759.7657
169,5983.75,5181.0,15.49,15.49,759.7657
170,5983.65,5181.0,15.49,15.49,756.8768
171,5983.65,5181.0,15.49,15.49,756.8768
172,5983.65,5181.0,15.49,15.49,756.8768
173,6006.38,5181.0,15.93,15.58,751.2040
174,6006.38,5181.0,15.93,15.67,751.2040
175,6006.38,5181.0,15.93,15.76,751.2040
176,6014.35,5181.0,16.08,15.87,753.2141
177,6014.35,5181.0,16.08,15.99,753.2141
178,6009.79,5181.0,16.00,16.01,753.2283
179,6010.85,5181.0,16.02,16.02,749.4283
180,6010.85,5181.0,16.02,16.04,749.4283
181,6004.76,5181.0,15.90,16.00,749.1737
182,6024.97,5181.0,16.29,16.04,747.5455
183,6024.97,5181.0,16.29,16.10,747.5455
184,6054.61,5181.0,16.86,16.27,748.5253
185,6054.70,5181.0,16.86,16.44,747.9374
186,6054.70,5181.0,16.86,16.63,747.9374
187,6050.36,5181.0,16.78,16.73,745.0646
188,6045.69,5181.0,16.69,16.81,743.2828
189,6045.69,5181.0,16.69,16.78,743.2828
190,6044.44,5181.0,16.67,16.74,745.2263
191,6043.86,5181.0,16.65,16.70,744.2384
192,6043.86,5181.0,16.65,16.67,744.2384
193,6057.04,5181.0,16.91,16.71,748.1919
194,6057.04,5181.0,16.91,16.76,748.1919
195,6057.04,5181.0,16.91,16.81,748.1919
196,6024.03,5181.0,16.27,16.73,750.1515
197,6024.03,5181.0,16.27,16.65,750.1515
198,6024.03,5181.0,16.27,16.53,750.1515
199,6034.57,5181.0,16.48,16.44,753.6202
200,6034.57,5181.0,16.48,16.35,753.6202
201,6036.43,5181.0,16.51,16.40,754.0263
202,6017.76,5181.0,16.15,16.38,753.2081
203,6017.76,5181.0,16.15,16.35,753.2081
204,6001.22,5181.0,15.83,16.22,753.4929
205,6031.27,5181.0,16.41,16.21,754.9535
206,6031.27,5181.0,16.41,16.19,754.9535
207,6026.84,5181.0,16.33,16.23,753.7414
208,6018.00,5181.0,16.16,16.23,756.9616
209,6018.00,5181.0,16.16,16.29,756.9616
210,5998.38,5181.0,15.78,16.16,759.4828
211,5993.25,5181.0,15.68,16.02,760.1091
212,5993.25,5181.0,15.68,15.89,760.1091
213,5987.24,5181.0,15.56,15.77,758.0343
214,5993.92,5181.0,15.69,15.68,756.4970
215,5993.92,5181.0,15.69,15.66,756.4970
216,6006.30,5181.0,15.93,15.71,753.2606
217,6004.71,5181.0,15.90,15.75,753.7838
218,6004.71,5181.0,15.90,15.82,753.7838
219,6015.65,5181.0,16.11,15.91,752.6505
220,6015.65,5181.0,16.11,15.99,752.6505
221,6015.65,5181.0,16.11,16.03,752.6505
222,5982.05,5181.0,15.46,15.94,754.1677
223,5982.05,5181.0,15.46,15.85,754.1677
224,5984.19,5181.0,15.50,15.73,755.9737
225,6019.10,5181.0,16.18,15.74,753.6970
226,6019.10,5181.0,16.18,15.76,753.6970
227,6023.23,5181.0,16.26,15.91,753.1475
228,6020.53,5181.0,16.20,16.06,754.9495
229,6020.53,5181.0,16.20,16.20,754.9495
230,6048.72,5181.0,16.75,16.32,753.8586
231,6031.54,5181.0,16.42,16.37,752.2323
232,6031.54,5181.0,16.42,16.40,752.2323
233,6034.28,5181.0,16.47,16.45,753.2323
234,6048.21,5181.0,16.74,16.56,752.8162
235,6048.21,5181.0,16.74,16.56,752.8162
236,6013.47,5181.0,16.07,16.49,753.7616
237,6000.13,5181.0,15.81,16.36,754.6424
238,6000.13,5181.0,15.81,16.23,754.6424
239,5969.52,5181.0,15.22,15.93,755.7899
240,5976.66,5181.0,15.36,15.65,755.0626
241,5976.66,5181.0,15.36,15.51,755.0626
242,6002.10,5181.0,15.85,15.52,758.0768
243,6002.10,5181.0,15.85,15.53,758.0768
244,6002.81,5181.0,15.86,15.65,758.2061
245,6020.52,5181.0,16.20,15.82,752.0768
246,6020.52,5181.0,16.20,15.99,752.0768
247,6016.19,5181.0,16.12,16.05,752.0384
248,5999.34,5181.0,15.80,16.04,756.5576
249,5999.34,5181.0,15.80,16.02,756.5576
250,5999.00,5181.0,15.79,15.94,755.2949
251,5994.97,5181.0,15.71,15.84,752.7717
252,5994.97,5181.0,15.71,15.76,752.7717
253,6004.29,5181.0,15.89,15.78,752.7576
254,5976.94,5181.0,15.36,15.69,753.1515
255,5976.94,5181.0,15.36,15.61,753.1515
256,5987.29,5181.0,15.56,15.58,751.5798
257,5982.74,5181.0,15.47,15.53,753.3273
258,5982.74,5181.0,15.47,15.45,753.3273
259,5989.88,5181.0,15.61,15.50,751.1172
260,5992.53,5181.0,15.66,15.56,751.6000
261,5992.53,5181.0,15.66,15.58,751.6000
262,6021.94,5181.0,16.23,15.73,756.4404
263,6023.00,5181.0,16.25,15.88,757.0949
264,6023.00,5181.0,16.25,16.01,757.0949
265,6000.30,5181.0,15.81,16.04,757.4667
266,6000.30,5181.0,15.81,16.07,757.4667
267,6001.40,5181.0,15.83,15.99,757.4020
268,6008.90,5181.0,15.98,15.94,749.7475
269,6008.90,5181.0,15.98,15.88,749.7475
270,6008.83,5181.0,15.98,15.92,749.1253
271,6027.84,5181.0,16.35,16.02,746.1273
272,6027.84,5181.0,16.35,16.13,746.1273
273,6036.25,5181.0,16.51,16.23,743.3717
274,6057.31,5181.0,16.91,16.42,744.2687
275,6057.31,5181.0,16.91,16.61,744.2687
276,6065.81,5181.0,17.08,16.75,744.1394
277,6046.52,5181.0,16.71,16.82,745.0667
278,6046.52,5181.0,16.71,16.86,745.0667
279,6035.76,5181.0,16.50,16.78,741.8081
280,6045.70,5181.0,16.69,16.74,742.3232
281,6045.70,5181.0,16.69,16.66,742.3232
282,6026.40,5181.0,16.32,16.58,747.6525
283,6020.25,5181.0,16.20,16.48,748.8081
284,6020.25,5181.0,16.20,16.42,748.8081
285,6014.71,5181.0,16.09,16.30,756.3576
286,6015.12,5181.0,16.10,16.18,755.4768
287,6015.12,5181.0,16.10,16.14,755.4768
288,6009.38,5181.0,15.99,16.10,753.4505
289,6009.38,5181.0,15.99,16.05,753.4505
290,6009.40,5181.0,15.99,16.03,753.0364
291,5992.10,5181.0,15.66,15.94,751.7010
292,5992.10,5181.0,15.66,15.86,751.7010
293,5992.46,5181.0,15.66,15.79,752.2727
294,6004.80,5181.0,15.90,15.77,758.5354
295,6004.80,5181.0,15.90,15.75,758.5354
296,6004.64,5181.0,15.90,15.80,758.6485
297,5987.40,5181.0,15.56,15.78,758.0646
298,5987.40,5181.0,15.56,15.77,758.0646
299,5974.68,5181.0,15.32,15.65,758.2525
300,5960.16,5181.0,15.04,15.48,756.3535
301,5960.16,5181.0,15.04,15.31,756.3535
302,5999.56,5181.0,15.80,15.35,758.0283
303,5999.17,5181.0,15.79,15.40,759.1354
304,5999.17,5181.0,15.79,15.49,759.1354
305,5964.99,5181.0,15.13,15.51,761.1616
306,5976.07,5181.0,15.35,15.57,760.5111
307,5976.07,5181.0,15.35,15.48,760.5111
308,5979.32,5181.0,15.41,15.40,762.7859
309,5980.69,5181.0,15.44,15.33,762.7596
310,5982.21,5181.0,15.46,15.40,762.0364
311,6003.95,5181.0,15.88,15.51,761.3838
312,6003.95,5181.0,15.88,15.62,761.3838
313,6004.10,5181.0,15.89,15.71,761.4970
314,5993.64,5181.0,15.69,15.76,759.6343
315,5993.64,5181.0,15.69,15.80,759.6343
316,5983.55,5181.0,15.49,15.73,757.3152
317,5981.46,5181.0,15.45,15.64,760.3657
318,5981.46,5181.0,15.45,15.55,760.3657
319,5979.87,5181.0,15.42,15.50,761.7596
320,5997.38,5181.0,15.76,15.51,759.7495
321,5997.38,5181.0,15.76,15.57,759.7495
322,6024.43,5181.0,16.28,15.73,758.1354
323,6033.68,5181.0,16.46,15.93,757.3980
324,6033.68,5181.0,16.46,16.14,757.3980
325,5990.63,5181.0,15.63,16.12,757.6141
326,5986.74,5181.0,15.55,16.07,757.9293
327,5986.74,5181.0,15.55,15.93,757.9293
328,5988.28,5181.0,15.58,15.75,755.8889
329,5992.42,5181.0,15.66,15.59,755.7374
330,5992.42,5181.0,15.66,15.60,755.7374
331,5984.20,5181.0,15.50,15.59,756.2970
332,5984.20,5181.0,15.50,15.58,756.2970
333,5984.55,5181.0,15.51,15.57,756.5677
334,6008.24,5181.0,15.97,15.63,755.3919
335,6008.24,5181.0,15.97,15.69,755.3919
336,6011.95,5181.0,16.04,15.80,754.4081
337,6014.99,5181.0,16.10,15.92,754.6283
338,6014.99,5181.0,16.10,16.03,754.6283
339,6009.89,5181.0,16.00,16.04,756.4263
