instance,trial,seed,best_makespan,best_iter,gap_%,time_s
ta42,1,1000,2348,1253,21.09334708612687,7825.97
ta42,2,1001,2399,1790,23.72356884992264,7782.0
ta42,3,1002,2360,1375,21.712222795255286,7767.62
ta42,4,1003,2287,630,17.947395564724083,7795.73
ta42,5,1004,2366,774,22.021660649819495,7808.44
ta42,6,1005,2353,3503,21.351211964930375,7739.2
ta42,7,1006,2377,423,22.58896338318721,7752.67
ta42,8,1007,2311,890,19.185146982980918,7781.25
ta42,9,1008,2318,887,19.54615781330583,7805.44
ta42,10,1009,2368,4261,22.124806601340897,7779.26
