iteration,makespan,bks,optimality gap,rolling_avg,reward_mean
1,0.00,2869.0,N/A,N/A,nan
2,4130.35,2869.0,43.96,43.96,212.0505
3,4130.35,2869.0,43.96,43.96,212.0505
4,4114.87,2869.0,43.43,43.78,215.8081
5,4098.81,2869.0,42.87,43.56,218.8424
6,4098.81,2869.0,42.87,43.42,218.8424
7,4061.42,2869.0,41.56,42.94,217.3374
8,4062.78,2869.0,41.61,42.47,224.2768
9,4062.78,2869.0,41.61,42.10,224.2768
10,4049.62,2869.0,41.15,41.76,224.0727
11,4061.60,2869.0,41.57,41.50,232.8020
12,4061.60,2869.0,41.57,41.50,232.8020
13,3983.36,2869.0,38.84,40.95,231.7596
14,4008.71,2869.0,39.72,40.57,229.9636
15,4008.71,2869.0,39.72,40.29,229.9636
16,3980.52,2869.0,38.74,39.72,234.8444
17,3978.31,2869.0,38.67,39.14,239.9556
18,3978.31,2869.0,38.67,39.10,239.9556
19,3965.45,2869.0,38.22,38.80,236.9152
20,3968.18,2869.0,38.31,38.52,243.2283
21,3968.18,2869.0,38.31,38.43,243.2283
22,3947.18,2869.0,37.58,38.22,245.6586
23,3859.21,2869.0,34.51,37.39,256.0626
24,3857.89,2869.0,34.47,36.64,255.8465
25,3855.74,2869.0,34.39,35.85,257.8061
26,3861.91,2869.0,34.61,35.11,265.5495
27,3861.91,2869.0,34.61,34.52,265.5495
28,3841.45,2869.0,33.90,34.39,262.1778
29,3855.43,2869.0,34.38,34.38,263.7232
30,3858.40,2869.0,34.49,34.40,263.2465
31,3842.83,2869.0,33.94,34.26,265.3919
32,3844.01,2869.0,33.98,34.14,270.5576
33,3844.01,2869.0,33.98,34.16,270.5576
34,3827.24,2869.0,33.40,33.96,273.3212
35,3842.30,2869.0,33.92,33.85,274.5414
36,3842.30,2869.0,33.92,33.84,274.5414
37,3808.87,2869.0,32.76,33.60,275.9596
38,3793.37,2869.0,32.22,33.25,278.2747
39,3793.37,2869.0,32.22,33.01,278.2747
40,3770.05,2869.0,31.41,32.51,282.6202
41,3794.49,2869.0,32.26,32.17,276.9596
42,3794.49,2869.0,32.26,32.07,276.9596
43,3774.37,2869.0,31.56,31.94,280.4101
44,3774.75,2869.0,31.57,31.81,280.9010
45,3773.28,2869.0,31.52,31.83,281.8162
46,3748.27,2869.0,30.65,31.51,281.2889
47,3756.69,2869.0,30.94,31.25,281.7253
48,3756.11,2869.0,30.92,31.12,283.8929
49,3774.78,2869.0,31.57,31.12,286.1798
50,3716.14,2869.0,29.53,30.72,292.2424
51,3730.81,2869.0,30.04,30.60,288.3515
52,3726.39,2869.0,29.88,30.39,288.9657
53,3712.69,2869.0,29.41,30.09,294.0040
54,3718.46,2869.0,29.61,29.69,294.7273
55,3718.98,2869.0,29.63,29.71,294.7111
56,3670.53,2869.0,27.94,29.29,294.5010
57,3677.76,2869.0,28.19,28.95,295.1030
58,3672.68,2869.0,28.01,28.67,295.8889
59,3698.81,2869.0,28.92,28.54,293.4061
60,3694.89,2869.0,28.79,28.37,296.7939
61,3694.89,2869.0,28.79,28.54,296.7939
62,3690.17,2869.0,28.62,28.63,296.5616
63,3708.33,2869.0,29.26,28.87,294.2283
64,3700.33,2869.0,28.98,28.89,293.4586
65,3701.95,2869.0,29.03,28.93,294.0848
66,3687.77,2869.0,28.54,28.88,297.7475
67,3690.50,2869.0,28.63,28.89,299.7434
68,3695.89,2869.0,28.82,28.80,298.8040
69,3678.74,2869.0,28.22,28.65,302.1798
70,3694.99,2869.0,28.79,28.60,299.5838
