iteration,makespan,bks,optimality gap,rolling_avg,reward_mean
1,0.00,2756.0,N/A,N/A,nan
2,3730.87,2756.0,35.37,35.37,186.4577
3,3772.19,2756.0,36.87,36.12,178.9960
4,3764.26,2756.0,36.58,36.28,180.1429
5,3709.46,2756.0,34.60,35.86,185.2308
6,3701.06,2756.0,34.29,35.54,186.2444
7,3692.29,2756.0,33.97,35.26,188.6823
8,3695.98,2756.0,34.11,34.71,192.5278
9,3718.26,2756.0,34.92,34.38,186.7747
10,3709.98,2756.0,34.61,34.38,189.3263
11,3672.43,2756.0,33.25,34.17,191.1035
12,3676.19,2756.0,33.39,34.06,191.0111
13,3646.48,2756.0,32.31,33.70,191.7051
14,3639.78,2756.0,32.07,33.13,192.4702
15,3654.69,2756.0,32.61,32.73,192.7914
16,3623.58,2756.0,31.48,32.37,199.6838
17,3600.07,2756.0,30.63,31.82,201.9884
18,3582.18,2756.0,29.98,31.35,201.1884
19,3604.32,2756.0,30.78,31.09,200.3551
20,3630.63,2756.0,31.74,30.92,199.1672
21,3623.49,2756.0,31.48,30.92,198.3384
22,3624.68,2756.0,31.52,31.10,202.3823
23,3574.53,2756.0,29.70,31.04,207.9081
24,3555.22,2756.0,29.00,30.69,210.0369
25,3545.59,2756.0,28.65,30.07,212.0308
26,3568.93,2756.0,29.50,29.67,212.5460
27,3566.89,2756.0,29.42,29.25,214.9929
28,3526.57,2756.0,27.96,28.91,217.3611
29,3502.12,2756.0,27.07,28.52,218.4414
30,3503.40,2756.0,27.12,28.21,220.5823
31,3472.69,2756.0,26.00,27.52,224.2566
32,3434.15,2756.0,24.61,26.55,227.4247
33,3421.02,2756.0,24.13,25.79,228.7914
34,3421.12,2756.0,24.13,25.20,228.9566
35,3411.33,2756.0,23.78,24.53,227.4354
36,3471.15,2756.0,25.95,24.52,225.8566
37,3493.13,2756.0,26.75,24.95,228.5035
38,3420.45,2756.0,24.11,24.94,230.2793
39,3465.47,2756.0,25.74,25.27,230.9778
