iteration,makespan,bks,optimality gap,rolling_avg,reward_mean
1,0.00,2756.0,N/A,N/A,nan
2,3727.25,2756.0,35.24,35.24,189.4634
3,3681.21,2756.0,33.57,34.41,195.1157
4,3677.37,2756.0,33.43,34.08,199.0838
5,3633.81,2756.0,31.85,33.52,196.6338
6,3613.18,2756.0,31.10,33.04,201.3747
7,3617.38,2756.0,31.25,32.24,199.7354
8,3630.65,2756.0,31.74,31.88,201.6520
9,3653.02,2756.0,32.55,31.70,200.9354
10,3624.70,2756.0,31.52,31.63,203.3657
11,3625.81,2756.0,31.56,31.72,201.5126
12,3601.44,2756.0,30.68,31.61,201.1141
13,3610.88,2756.0,31.02,31.46,202.7596
14,3602.35,2756.0,30.71,31.10,205.5672
15,3608.55,2756.0,30.93,30.98,203.7520
16,3577.57,2756.0,29.81,30.63,205.5005
17,3585.30,2756.0,30.09,30.51,205.8899
18,3601.77,2756.0,30.69,30.45,207.1657
19,3554.94,2756.0,28.99,30.10,213.2323
20,3531.46,2756.0,28.14,29.54,210.3581
21,3560.56,2756.0,29.19,29.42,210.9657
22,3583.11,2756.0,30.01,29.40,207.9384
23,3545.42,2756.0,28.64,28.99,214.3596
24,3524.02,2756.0,27.87,28.77,215.3520
25,3504.61,2756.0,27.16,28.58,215.2551
26,3512.66,2756.0,27.46,28.23,214.7141
27,3515.94,2756.0,27.57,27.74,216.7263
28,3504.42,2756.0,27.16,27.44,218.6778
29,3512.08,2756.0,27.43,27.36,218.8051
30,3487.63,2756.0,26.55,27.23,219.3626
31,3463.12,2756.0,25.66,26.87,218.8157
32,3500.06,2756.0,27.00,26.76,221.6672
33,3491.69,2756.0,26.69,26.67,221.1551
34,3499.89,2756.0,26.99,26.58,217.2247
35,3538.76,2756.0,28.40,26.95,216.5217
36,3508.02,2756.0,27.29,27.27,218.9399
37,3505.10,2756.0,27.18,27.31,217.7141
38,3509.14,2756.0,27.33,27.44,219.1808
39,3515.85,2756.0,27.57,27.55,219.8551
40,3479.44,2756.0,26.25,27.12,220.9414
41,3501.36,2756.0,27.04,27.07,224.2247
42,3500.34,2756.0,27.01,27.04,222.9066
43,3494.95,2756.0,26.81,26.94,224.7596
44,3491.09,2756.0,26.67,26.76,224.3975
45,3483.07,2756.0,26.38,26.78,223.3369
46,3468.80,2756.0,25.86,26.55,226.6581
47,3465.22,2756.0,25.73,26.29,227.3005
48,3465.11,2756.0,25.73,26.08,226.4429
49,3441.88,2756.0,24.89,25.72,228.2551
50,3434.38,2756.0,24.61,25.37,232.0657
51,3463.40,2756.0,25.67,25.33,230.1672
52,3465.37,2756.0,25.74,25.33,228.4278
53,3460.47,2756.0,25.56,25.29,228.2490
54,3430.03,2756.0,24.46,25.21,228.8747
55,3412.99,2756.0,23.84,25.05,230.2929
56,3417.25,2756.0,23.99,24.72,233.1626
57,3434.27,2756.0,24.61,24.49,228.7035
58,3438.26,2756.0,24.76,24.33,230.5126
59,3442.65,2756.0,24.91,24.42,231.0308
60,3436.13,2756.0,24.68,24.59,228.9323
61,3418.78,2756.0,24.05,24.60,234.8581
62,3423.68,2756.0,24.23,24.52,232.1460
63,3412.97,2756.0,23.84,24.34,234.0763
