iteration,makespan,bks,optimality gap,rolling_avg,reward_mean
1,0.00,2756.0,N/A,N/A,nan
2,3749.58,2756.0,36.05,36.05,184.7229
3,3700.39,2756.0,34.27,35.16,182.5126
4,3701.66,2756.0,34.31,34.88,185.5399
5,3703.70,2756.0,34.39,34.75,187.0657
6,3705.03,2756.0,34.44,34.69,186.8157
7,3731.25,2756.0,35.39,34.56,187.8384
8,3692.90,2756.0,33.99,34.50,191.7793
9,3686.77,2756.0,33.77,34.40,189.7672
10,3596.08,2756.0,30.48,33.61,201.2263
11,3610.00,2756.0,30.99,32.92,199.8111
12,3623.11,2756.0,31.46,32.14,199.5354
13,3616.44,2756.0,31.22,31.58,202.4626
14,3607.35,2756.0,30.89,31.01,207.5869
15,3578.43,2756.0,29.84,30.88,207.1020
16,3581.07,2756.0,29.94,30.67,207.0278
17,3559.76,2756.0,29.16,30.21,206.8081
18,3560.05,2756.0,29.17,29.80,206.4490
19,3568.31,2756.0,29.47,29.52,205.0505
20,3586.62,2756.0,30.14,29.58,205.2808
21,3596.12,2756.0,30.48,29.69,206.3944
22,3578.09,2756.0,29.83,29.82,210.7732
23,3540.78,2756.0,28.48,29.68,211.8126
24,3527.32,2756.0,27.99,29.38,213.7202
25,3511.37,2756.0,27.41,28.84,216.3929
26,3508.07,2756.0,27.29,28.20,216.5793
27,3526.88,2756.0,27.97,27.83,215.7157
28,3507.78,2756.0,27.28,27.59,217.5141
29,3498.63,2756.0,26.95,27.38,220.4369
30,3491.92,2756.0,26.70,27.24,223.8141
31,3484.70,2756.0,26.44,27.07,221.7975
32,3482.04,2756.0,26.34,26.74,222.1929
33,3487.70,2756.0,26.55,26.60,221.2354
34,3501.90,2756.0,27.06,26.62,221.4899
35,3484.27,2756.0,26.42,26.56,226.1626
36,3480.25,2756.0,26.28,26.53,227.1051
37,3468.44,2756.0,25.85,26.43,227.2793
38,3476.63,2756.0,26.15,26.35,227.9747
39,3472.44,2756.0,26.00,26.14,226.3838
40,3486.67,2756.0,26.51,26.16,226.6975
41,3452.89,2756.0,25.29,25.96,228.2929
42,3451.70,2756.0,25.24,25.84,227.4490
43,3445.12,2756.0,25.00,25.61,227.1596
44,3448.20,2756.0,25.12,25.43,226.3278
45,3424.07,2756.0,24.24,24.98,227.4990
46,3415.12,2756.0,23.92,24.70,228.1232
47,3420.56,2756.0,24.11,24.48,229.6793
48,3409.58,2756.0,23.71,24.22,230.6126
49,3417.95,2756.0,24.02,24.00,231.2520
50,3418.12,2756.0,24.02,23.96,230.6732
51,3411.30,2756.0,23.78,23.93,231.7505
52,3437.54,2756.0,24.73,24.05,232.7914
53,3431.13,2756.0,24.50,24.21,233.8005
54,3400.52,2756.0,23.39,24.08,235.2051
55,3408.87,2756.0,23.69,24.02,233.0520
56,3375.01,2756.0,22.46,23.75,237.6793
57,3386.79,2756.0,22.89,23.38,239.4429
58,3381.67,2756.0,22.70,23.03,238.0444
59,3396.85,2756.0,23.25,23.00,237.9838
60,3399.85,2756.0,23.36,22.93,237.8323
61,3401.19,2756.0,23.41,23.12,238.4626
62,3385.39,2756.0,22.84,23.11,240.3960
63,3391.21,2756.0,23.05,23.18,240.3429
64,3388.56,2756.0,22.95,23.12,238.0232
65,3377.85,2756.0,22.56,22.96,241.7141
66,3339.31,2756.0,21.17,22.51,241.4399
67,3342.31,2756.0,21.27,22.20,243.2535
68,3332.87,2756.0,20.93,21.78,244.3429
69,3324.63,2756.0,20.63,21.31,245.0990
70,3322.23,2756.0,20.55,20.91,244.4657
71,3337.77,2756.0,21.11,20.90,245.5641
72,3340.17,2756.0,21.20,20.88,246.7293
73,3365.11,2756.0,22.10,21.12,247.0399
74,3358.95,2756.0,21.88,21.37,245.3823
75,3324.45,2756.0,20.63,21.38,244.7399
76,3308.33,2756.0,20.04,21.17,245.0793
77,3302.27,2756.0,19.82,20.89,245.9838
78,3308.50,2756.0,20.05,20.48,246.4854
79,3334.07,2756.0,20.97,20.30,245.4566
80,3344.77,2756.0,21.36,20.45,245.2141
81,3353.97,2756.0,21.70,20.78,246.3354
82,3336.60,2756.0,21.07,21.03,245.3793
83,3307.90,2756.0,20.03,21.03,248.5051
84,3307.82,2756.0,20.02,20.83,243.8111
85,3345.22,2756.0,21.38,20.84,242.8732
86,3302.71,2756.0,19.84,20.47,247.9202
87,3335.03,2756.0,21.01,20.45,245.4293
88,3344.90,2756.0,21.37,20.72,245.3884
89,3332.00,2756.0,20.90,20.90,245.5626
90,3340.03,2756.0,21.19,20.86,246.9005
91,3321.85,2756.0,20.53,21.00,249.7475
92,3318.78,2756.0,20.42,20.88,248.9035
93,3317.81,2756.0,20.38,20.69,249.8747
94,3268.76,2756.0,18.61,20.23,250.0960
95,3252.46,2756.0,18.01,19.59,249.2157
96,3290.14,2756.0,19.38,19.36,250.5747
97,3296.80,2756.0,19.62,19.20,248.4596
98,3315.02,2756.0,20.28,19.18,247.4157
99,3310.50,2756.0,20.12,19.48,250.5672
100,3290.37,2756.0,19.39,19.76,251.3672
101,3281.82,2756.0,19.08,19.70,251.4338
102,3272.41,2756.0,18.74,19.52,251.4172
103,3291.16,2756.0,19.42,19.35,251.0005
104,3289.21,2756.0,19.35,19.19,254.3338
105,3270.18,2756.0,18.66,19.05,253.3763
106,3266.63,2756.0,18.53,18.94,253.1187
107,3292.41,2756.0,19.46,19.08,252.9187
108,3275.25,2756.0,18.84,18.97,252.6369
109,3275.31,2756.0,18.84,18.87,251.8263
110,3279.99,2756.0,19.01,18.94,252.3444
111,3277.01,2756.0,18.90,19.01,252.5687
112,3283.28,2756.0,19.13,18.95,252.2323
113,3283.75,2756.0,19.15,19.01,253.4066
114,3278.65,2756.0,18.96,19.03,251.8672
115,3302.32,2756.0,19.82,19.19,255.1884
116,3265.81,2756.0,18.50,19.11,254.1687
117,3309.11,2756.0,20.07,19.30,251.2020
118,3304.43,2756.0,19.90,19.45,252.5944
119,3299.16,2756.0,19.71,19.60,254.2111
120,3282.59,2756.0,19.11,19.46,255.2202
121,3281.66,2756.0,19.07,19.57,252.6081
122,3270.24,2756.0,18.66,19.29,253.2535
123,3256.61,2756.0,18.16,18.94,254.7975
124,3283.84,2756.0,19.15,18.83,255.6626
125,3292.80,2756.0,19.48,18.91,255.0611
126,3283.49,2756.0,19.14,18.92,255.8141
127,3267.34,2756.0,18.55,18.90,253.9687
128,3261.92,2756.0,18.36,18.94,256.2369
129,3273.37,2756.0,18.77,18.86,256.3505
130,3268.82,2756.0,18.61,18.69,258.1732
131,3259.35,2756.0,18.26,18.51,255.7611
132,3274.28,2756.0,18.81,18.56,254.8308
133,3272.29,2756.0,18.73,18.64,255.0263
134,3267.26,2756.0,18.55,18.59,255.5096
135,3253.67,2756.0,18.06,18.48,257.7384
136,3232.87,2756.0,17.30,18.29,258.2384
137,3252.28,2756.0,18.01,18.13,256.6187
138,3244.89,2756.0,17.74,17.93,257.9020
139,3226.73,2756.0,17.08,17.64,258.3081
140,3218.67,2756.0,16.79,17.38,259.0020
141,3231.51,2756.0,17.25,17.37,258.5899
142,3242.53,2756.0,17.65,17.30,259.6732
143,3234.43,2756.0,17.36,17.23,258.8763
144,3240.68,2756.0,17.59,17.33,259.4641
145,3248.60,2756.0,17.87,17.55,260.9051
146,3239.52,2756.0,17.54,17.60,259.3626
147,3221.84,2756.0,16.90,17.45,258.4823
148,3230.12,2756.0,17.20,17.42,259.2444
149,3232.26,2756.0,17.28,17.36,261.1005
150,3232.83,2756.0,17.30,17.25,260.2263
151,3234.89,2756.0,17.38,17.21,260.7369
152,3263.67,2756.0,18.42,17.52,259.3338
153,3244.37,2756.0,17.72,17.62,261.8490
154,3222.79,2756.0,16.94,17.55,260.6747
155,3212.37,2756.0,16.56,17.40,262.9566
156,3204.64,2756.0,16.28,17.18,261.0641
157,3230.05,2756.0,17.20,16.94,263.6884
158,3213.24,2756.0,16.59,16.71,263.2838
159,3192.22,2756.0,15.83,16.49,263.9520
160,3223.59,2756.0,16.97,16.57,261.3369
161,3229.39,2756.0,17.18,16.75,263.1551
162,3212.25,2756.0,16.55,16.62,262.4414
163,3219.21,2756.0,16.81,16.67,263.5551
164,3218.61,2756.0,16.79,16.86,264.5732
165,3217.92,2756.0,16.76,16.82,261.9505
166,3219.11,2756.0,16.80,16.74,262.8444
167,3222.84,2756.0,16.94,16.82,262.7869
168,3231.06,2756.0,17.24,16.91,260.4687
169,3225.82,2756.0,17.05,16.96,262.1369
170,3246.56,2756.0,17.80,17.17,263.9490
171,3215.99,2756.0,16.69,17.14,265.2990
172,3223.41,2756.0,16.96,17.15,264.8687
173,3227.16,2756.0,17.10,17.12,264.2202
174,3187.80,2756.0,15.67,16.84,265.1717
175,3202.43,2756.0,16.20,16.52,265.2323
176,3199.33,2756.0,16.09,16.40,263.5657
177,3219.72,2756.0,16.83,16.37,266.1535
178,3223.47,2756.0,16.96,16.35,266.3020
179,3217.41,2756.0,16.74,16.56,262.5141
180,3230.97,2756.0,17.23,16.77,264.7717
181,3228.84,2756.0,17.16,16.98,263.9672
182,3204.84,2756.0,16.29,16.88,266.7354
183,3174.00,2756.0,15.17,16.52,267.9096
184,3191.70,2756.0,15.81,16.33,264.1020
185,3200.67,2756.0,16.13,16.11,262.6354
186,3205.17,2756.0,16.30,15.94,265.1566
187,3194.49,2756.0,15.91,15.86,265.7293
188,3178.78,2756.0,15.34,15.90,266.1232
189,3188.83,2756.0,15.71,15.88,264.3626
190,3200.37,2756.0,16.12,15.88,267.8020
191,3202.95,2756.0,16.22,15.86,266.5929
192,3211.65,2756.0,16.53,15.98,264.8823
193,3228.23,2756.0,17.13,16.34,263.3884
194,3251.48,2756.0,17.98,16.80,263.5263
195,3209.17,2756.0,16.44,16.86,266.8763
196,3183.52,2756.0,15.51,16.72,266.5808
197,3179.76,2756.0,15.38,16.49,267.0444
198,3181.66,2756.0,15.44,16.15,263.4838
199,3187.47,2756.0,15.66,15.69,265.5581
200,3183.14,2756.0,15.50,15.50,265.7232
201,3192.24,2756.0,15.83,15.56,263.7081
202,3195.07,2756.0,15.93,15.67,265.1869
203,3221.80,2756.0,16.90,15.96,263.8005
204,3219.34,2756.0,16.81,16.19,264.2838
205,3226.02,2756.0,17.05,16.51,263.2126
206,3203.61,2756.0,16.24,16.59,266.5657
207,3221.11,2756.0,16.88,16.78,264.4626
208,3208.66,2756.0,16.42,16.68,265.6293
209,3187.98,2756.0,15.67,16.45,265.7808
210,3198.67,2756.0,16.06,16.26,265.7717
211,3224.59,2756.0,17.00,16.41,264.4793
212,3210.42,2756.0,16.49,16.33,265.7641
213,3211.59,2756.0,16.53,16.35,264.2066
214,3193.23,2756.0,15.86,16.39,264.8944
215,3216.17,2756.0,16.70,16.52,266.5202
216,3208.45,2756.0,16.42,16.40,267.9399
217,3207.36,2756.0,16.38,16.38,268.1051
218,3197.93,2756.0,16.04,16.28,269.6444
219,3180.95,2756.0,15.42,16.19,266.5475
220,3192.53,2756.0,15.84,16.02,265.1066
221,3209.13,2756.0,16.44,16.02,265.9960
222,3197.01,2756.0,16.00,15.95,266.0702
223,3193.73,2756.0,15.88,15.92,266.7626
224,3183.39,2756.0,15.51,15.93,265.9732
225,3202.05,2756.0,16.18,16.00,265.0732
226,3185.62,2756.0,15.59,15.83,265.5066
227,3181.68,2756.0,15.45,15.72,266.0490
