epoch,mean_gap_bks,cql_alpha,ta51,ta52,ta53,ta54,ta55,ta56,ta57,ta58,ta59,elapsed_s
1,26.6565,1.0000,38.5507,24.4557,21.7519,17.3300,23.1803,24.2718,22.5620,32.0624,35.7439,265.3
5,33.3125,1.0000,33.6594,26.7417,24.0707,32.8285,33.4080,35.9942,27.2851,45.3726,40.4520,1565.0
10,21.6394,0.5000,20.9058,24.8911,12.1826,19.8309,24.1135,25.4585,15.6983,32.2010,19.4727,3181.1
15,20.5678,0.7500,24.0580,15.0218,19.1388,15.9563,23.4416,19.9209,16.2419,23.9861,27.3446,4554.2
20,22.3804,0.7500,30.4710,18.9042,17.7402,11.6943,23.2176,25.1348,22.4261,19.0295,32.8060,5758.9
25,23.6474,0.7500,19.8551,21.6981,19.5436,11.9408,38.2979,16.1812,38.4302,22.3224,24.5574,6937.6
30,19.9221,0.7500,26.5942,25.1814,21.8992,11.7295,27.5476,17.0802,16.0381,12.5130,20.7156,8114.7
35,21.4489,1.0000,36.8478,14.1509,16.2311,12.3635,21.5006,17.5476,27.0812,17.7123,29.6045,9327.8
40,25.7814,1.0000,26.2319,16.7997,18.2186,26.5939,27.8089,26.5732,25.7900,24.5061,39.5104,10562.7
45,21.9252,1.0000,30.2536,17.6705,11.6305,16.8017,25.2333,30.6724,20.0136,17.7816,27.2693,11772.5
50,32.3627,1.0000,47.6812,36.2482,17.4089,13.5963,46.3606,28.7666,15.1886,42.3224,43.6911,13006.5
55,22.0665,1.0000,28.0797,21.9884,17.5193,11.9056,26.4278,33.2974,21.3048,19.1681,18.9077,14280.9
60,31.1287,1.0000,35.8333,22.2424,30.9533,26.6643,28.8167,30.2050,35.9157,38.7175,30.8098,15569.8
65,21.3927,1.0000,24.6014,31.3498,11.6305,13.7725,20.2314,23.3369,33.3673,19.4801,14.7646,16793.8
