epoch,mean_gap_bks,cql_alpha,ta61,ta62,ta63,ta64,ta65,ta66,ta67,ta68,ta69,elapsed_s
1,31.7867,1.0000,35.4603,36.4238,25.9891,38.7121,31.1560,39.5079,22.1947,30.4239,26.2130,397.9
5,23.9844,1.0000,27.4059,25.0610,24.7913,28.4974,22.7156,24.7100,23.3982,18.5704,20.7099,2137.6
10,23.7582,0.7500,24.4770,21.7149,25.4083,23.5381,25.6881,24.0070,22.6903,20.5101,25.7896,4339.4
15,27.6594,0.7500,24.3026,32.7989,21.7060,38.3420,23.5596,26.1511,28.4602,30.1365,23.4777,6556.0
20,25.9115,0.7500,24.4770,36.1799,24.7913,22.9460,26.0917,17.9613,27.3628,25.6825,27.7108,8707.3
25,23.8800,0.7500,22.0363,27.1872,19.0926,26.2398,29.0642,21.4763,21.9469,21.0129,26.8642,10610.7
30,21.9866,0.7500,21.4086,30.7773,16.4428,23.3901,25.7248,17.9613,21.8407,17.9957,22.3380,12543.6
35,24.3997,0.7500,23.9888,50.7494,23.5572,26.8320,21.1743,15.6063,18.3717,22.4497,16.8675,14168.2
40,25.6511,0.7500,24.7908,39.1077,23.1579,33.7898,25.6514,19.4025,24.4248,21.1925,19.3422,15946.0
45,25.1013,0.7500,27.3013,39.4563,28.2033,25.6107,28.9174,15.5712,23.3274,15.8046,21.7193,17760.2
50,25.1830,0.7500,33.0544,35.4479,31.4338,24.7224,23.5596,21.8981,20.9912,17.5647,17.9746,19372.9
55,25.5933,0.7500,24.9303,21.5058,27.9129,30.1628,21.6147,25.3076,33.9469,19.7557,25.2035,21009.4
60,24.5206,0.7500,26.5690,28.3723,24.0653,35.5292,26.6422,15.3954,33.6991,14.9784,15.4347,22788.5
65,21.3450,0.7500,21.0600,23.7016,16.5880,21.7987,16.6239,19.3322,31.5044,26.2572,15.2393,25037.6
70,23.4253,0.7500,17.2245,24.1548,23.5209,20.3923,27.0826,18.1722,25.6283,28.6997,25.9525,27272.0
75,22.5492,0.7500,24.9651,38.4455,14.1924,21.7987,20.8440,22.7768,22.3717,22.3420,15.2068,29377.4
80,24.4348,0.7500,21.3738,21.7497,26.0617,26.3509,23.7064,22.7065,19.8230,18.6422,39.4985,31032.4
85,24.3446,0.7500,19.2469,27.8843,20.1452,28.5344,23.4128,23.5149,33.4513,22.2342,20.6773,32740.7
90,23.2112,0.7500,21.2692,22.6908,24.5735,23.6121,23.6330,24.6397,26.5487,24.3175,17.6164,34338.6
95,23.3573,0.7500,21.4435,30.8121,19.5644,27.6092,25.9083,23.2689,22.6903,18.5345,20.3842,36484.4
100,25.3815,0.7500,29.3584,32.8337,22.3593,20.4293,22.2385,23.3743,26.7611,16.5948,34.4839,38326.4
105,25.3193,0.7500,20.8159,44.9285,24.6461,24.5374,32.7339,24.1828,18.1593,18.4626,19.4074,40375.6
110,22.9755,0.7500,29.1144,22.4120,22.3956,28.5344,26.7156,19.3322,24.3894,17.9957,15.8906,42177.4
115,24.6920,0.7500,30.2650,29.2785,26.0254,29.9408,24.5872,18.5589,32.5664,18.5345,12.4715,43892.8
120,26.1679,0.7500,28.9749,35.1690,22.5408,35.3072,27.3761,17.7153,32.9558,17.8879,17.5838,46104.8
125,23.7987,0.7500,32.9847,33.3914,19.6733,27.4611,30.2752,20.3515,21.0265,15.4454,13.5786,48189.9
130,21.9550,0.7500,22.6987,24.3639,18.9837,21.9097,21.8716,22.4956,23.7168,19.2170,22.3380,50250.7
135,22.2444,0.7500,29.5676,28.6860,21.2704,22.7979,26.0917,18.8049,18.3363,19.1451,15.4998,51953.2
140,24.5970,0.7500,26.3947,37.8181,16.5880,27.4241,21.9083,24.7100,26.9735,14.9066,24.6500,53793.9
145,26.3797,0.7500,32.0084,23.2834,28.8566,25.3516,20.8440,33.9543,28.3894,17.9957,26.7340,55925.9
150,23.4294,0.7500,26.4993,29.6619,25.8076,24.7964,21.7248,18.8049,18.1947,22.8089,22.5659,57816.1
155,23.3347,0.7500,26.0809,26.1764,21.9238,20.6884,27.1560,21.0896,26.5841,22.3060,18.0072,59621.3
160,24.4640,0.7500,18.8633,26.0369,21.3793,27.7942,27.0459,19.9297,25.2035,19.5043,34.4188,61471.4
165,22.9194,0.7500,28.8006,20.8784,20.8348,18.7639,26.0183,23.9367,21.5575,20.1509,25.3338,63496.9
170,23.1261,0.7500,18.3752,31.6138,21.4156,17.8386,17.2110,24.2179,31.7522,19.4325,26.2781,65171.0
175,22.8771,0.7500,25.3487,25.4444,26.2795,18.0977,24.9174,22.6714,28.6018,20.0431,14.4904,67058.3
180,23.5627,0.7500,26.6039,23.6668,19.0563,20.6884,23.1193,21.6872,24.4602,16.7026,36.0795,69332.3
185,23.9056,0.7500,26.7434,44.7194,20.6897,21.7617,21.8716,23.2337,20.7788,16.9540,18.3979,71154.2
190,26.1966,0.7500,27.1269,41.7916,19.8911,21.0585,24.7706,25.1318,28.0708,20.5101,27.4178,72817.1
195,25.5843,0.7500,26.2552,31.7532,22.6497,23.1310,19.7798,31.7047,31.2920,17.7083,25.9850,74623.1
200,25.5032,0.7500,19.3515,27.1523,23.7387,19.9112,24.2936,29.9121,38.7965,19.8994,26.4735,76563.5
205,21.4875,0.7500,18.7587,32.6246,16.9873,18.2457,22.4587,24.5694,24.1416,18.9296,16.6721,78403.6
210,22.7711,0.7500,24.5816,27.6751,19.2740,25.5736,25.3578,20.5624,24.6018,19.8276,17.4862,80043.3
215,25.1032,0.7500,26.8480,33.9840,20.0726,23.6862,25.1743,22.4956,34.7965,21.5158,17.3559,82144.3
