epoch,mean_gap_bks,cql_alpha,ta51,ta52,ta53,ta54,ta55,ta56,ta57,ta58,ta59,elapsed_s
1,25.2658,1.0000,26.4855,33.0552,21.0158,18.0345,26.1665,24.3078,23.0377,27.4177,27.8719,345.0
5,21.1812,1.0000,20.0725,22.7141,12.9555,15.3223,23.8522,19.2736,19.0282,23.7782,33.6347,1566.5
10,19.8375,0.7500,19.7101,22.8955,17.1881,21.2046,19.6715,24.5236,16.3778,12.4090,24.5574,2886.8
15,20.7305,1.0000,20.2174,20.3919,21.5311,25.7133,25.9798,16.0734,17.6690,15.9099,23.0885,4604.2
20,19.2526,1.0000,23.8768,19.3759,13.8756,13.5611,18.2531,21.5390,20.5573,19.8614,22.3729,6071.8
25,20.4424,1.0000,32.1014,15.6386,14.1700,21.4160,17.5439,20.1726,18.6544,23.1542,21.1299,7761.8
30,18.7073,1.0000,23.1884,20.9361,18.2922,10.4614,19.1863,17.6196,17.6011,24.9220,16.1582,9413.3
35,21.1318,1.0000,27.2464,20.5370,18.7707,23.3181,22.8443,21.6469,15.3925,19.3761,21.0546,10998.5
40,20.6026,1.0000,21.9928,24.7097,17.2249,15.6745,25.0093,17.7634,23.0717,15.0433,24.9341,12268.5
45,18.7756,1.0000,20.5072,21.1176,15.8263,16.4142,22.3218,15.0665,18.1448,16.5685,23.0132,13612.5
50,20.8554,1.0000,23.7681,20.1379,16.2679,19.0912,19.5595,24.1999,18.6544,18.3362,27.6836,15018.2
55,19.9767,1.0000,26.0145,16.6909,19.1756,12.7510,23.2923,19.5973,21.8145,18.2322,22.2222,16291.2
60,20.1675,1.0000,27.8986,20.2467,18.3658,11.5181,23.7775,21.2154,14.4750,24.5754,19.4350,17852.2
65,19.1265,1.0000,23.4783,21.8070,14.5013,13.3850,20.0821,20.6760,14.6449,22.7730,20.7910,19170.0
