epoch,mean_gap_bks,cql_alpha,ta41,ta42,ta43,ta44,ta45,ta46,ta47,ta48,ta49,elapsed_s
1,46.1908,0.2500,35.4613,43.0563,57.2589,61.7484,31.5974,39.4711,50.3970,51.4713,45.2551,400.2
5,36.3497,0.2500,36.8579,35.2607,34.8862,39.0096,28.3425,31.6866,41.3976,44.5534,35.1531,2016.6
10,32.3099,0.2500,28.3292,33.4022,30.1192,32.6427,30.8463,46.0080,32.9275,29.0656,27.4490,4128.9
15,32.9317,0.2500,35.7606,40.3717,45.2329,30.8742,33.4001,29.0918,29.5394,28.0330,24.0816,6276.0
20,34.3904,0.2500,34.7631,41.0945,43.4453,25.9727,23.8858,43.0140,27.8454,35.0542,34.4388,8541.3
25,33.0313,0.2500,32.1197,43.9855,31.4193,29.9646,27.8418,30.8882,30.5453,39.7006,30.8163,10768.6
30,36.3974,0.2500,31.4214,47.9608,50.6501,35.9272,31.7476,32.4850,34.6215,31.0790,31.6837,13006.4
35,33.3982,0.2500,37.4564,33.2473,34.2904,22.9914,28.4427,44.1617,32.7687,28.7558,38.4694,15255.6
40,34.0012,0.2500,31.9701,32.7310,40.7367,48.6104,32.5989,35.2794,33.4039,27.5168,23.1633,17360.9
45,32.4605,0.2500,30.5237,31.3371,33.3153,33.5018,26.5398,26.8463,33.8274,45.8957,30.3571,19462.4
50,34.9625,0.2500,34.6633,33.7119,40.9534,31.4300,31.1968,47.6048,32.6628,29.6335,32.8061,21578.1
55,34.2589,0.2500,32.0698,42.5916,40.4659,30.2678,34.7021,32.3353,42.9857,30.7176,22.1939,23593.2
60,33.2086,0.2500,33.5661,35.9835,34.1278,25.4169,19.2789,48.2535,33.2451,45.6892,23.3163,25735.1
65,36.5738,0.2500,31.6708,33.7636,45.0163,28.1961,22.0831,51.1976,34.0921,50.5937,32.5510,27854.8
