iteration,makespan,bks,optimality gap,rolling_avg,reward_mean
127,2514.83,1937.0,29.83,29.90,113.8646
128,2505.29,1937.0,29.34,29.72,115.5838
129,2507.06,1937.0,29.43,29.67,113.2283
130,2512.86,1937.0,29.73,29.56,106.9737
131,2528.63,1937.0,30.54,29.77,105.1455
132,2500.08,1937.0,29.07,29.62,110.2707
133,2513.46,1937.0,29.76,29.71,112.3758
134,2499.91,1937.0,29.06,29.63,112.7552
135,2515.42,1937.0,29.86,29.66,106.9818
136,2496.58,1937.0,28.89,29.33,112.3879
137,2511.40,1937.0,29.65,29.45,112.2828
138,2494.79,1937.0,28.80,29.25,114.4000
139,2470.58,1937.0,27.55,28.95,118.6667
140,2474.61,1937.0,27.75,28.53,116.0646
141,2477.15,1937.0,27.89,28.33,114.9576
142,2481.95,1937.0,28.13,28.02,114.3758
143,2480.21,1937.0,28.04,27.87,116.9842
144,2460.85,1937.0,27.04,27.77,117.6465
145,2478.85,1937.0,27.97,27.82,117.7879
146,2485.24,1937.0,28.30,27.90,117.7071
147,2463.99,1937.0,27.21,27.71,118.5596
148,2489.83,1937.0,28.54,27.81,117.2727
149,2485.70,1937.0,28.33,28.07,117.1576
150,2474.91,1937.0,27.77,28.03,116.5556
151,2465.32,1937.0,27.28,27.82,119.5515
152,2461.71,1937.0,27.09,27.80,118.0255
153,2478.89,1937.0,27.98,27.69,116.8949
154,2466.48,1937.0,27.34,27.49,116.5879
155,2454.15,1937.0,26.70,27.27,117.7293
156,2466.43,1937.0,27.33,27.29,117.6747
157,2481.48,1937.0,28.11,27.49,114.6263
158,2481.48,1937.0,28.11,27.52,116.6000
159,2471.64,1937.0,27.60,27.57,117.7677
160,2493.83,1937.0,28.75,27.98,119.3737
161,2489.62,1937.0,28.53,28.22,118.3823
162,2452.67,1937.0,26.62,27.92,119.7212
163,2473.59,1937.0,27.70,27.84,121.7475
164,2472.30,1937.0,27.64,27.85,118.2384
165,2488.63,1937.0,28.48,27.79,118.6424
166,2488.05,1937.0,28.45,27.78,121.2121
167,2455.83,1937.0,26.79,27.81,121.3899
168,2432.17,1937.0,25.56,27.38,122.7596
169,2458.50,1937.0,26.92,27.24,122.5798
170,2457.52,1937.0,26.87,26.92,121.0343
171,2484.40,1937.0,28.26,26.88,122.3514
172,2466.62,1937.0,27.34,26.99,123.9616
173,2419.17,1937.0,24.89,26.86,125.9697
174,2439.60,1937.0,25.95,26.66,122.5919
175,2443.93,1937.0,26.17,26.52,124.0869
176,2436.13,1937.0,25.77,26.02,122.9091
177,2451.06,1937.0,26.54,25.86,121.8889
178,2462.92,1937.0,27.15,26.32,121.8566
179,2461.58,1937.0,27.08,26.54,121.9677
180,2448.89,1937.0,26.43,26.59,121.6184
181,2449.34,1937.0,26.45,26.73,122.4404
182,2465.95,1937.0,27.31,26.88,121.1879
183,2470.92,1937.0,27.56,26.97,122.6909
184,2455.52,1937.0,26.77,26.90,122.1172
185,2460.98,1937.0,27.05,27.03,124.0707
186,2439.37,1937.0,25.94,26.93,126.3798
187,2444.70,1937.0,26.21,26.71,126.3374
188,2443.37,1937.0,26.14,26.42,125.3677
189,2436.05,1937.0,25.76,26.22,128.4010
190,2434.47,1937.0,25.68,25.95,127.9354
191,2435.46,1937.0,25.73,25.91,127.3677
192,2433.72,1937.0,25.64,25.79,127.6505
193,2431.39,1937.0,25.52,25.67,127.4303
194,2411.29,1937.0,24.49,25.41,128.1939
195,2404.55,1937.0,24.14,25.10,133.4222
196,2434.83,1937.0,25.70,25.10,128.6768
197,2434.64,1937.0,25.69,25.11,130.1408
198,2437.11,1937.0,25.82,25.17,129.6242
199,2437.47,1937.0,25.84,25.44,127.9172
200,2442.41,1937.0,26.09,25.83,128.2121
201,2414.43,1937.0,24.65,25.62,131.0040
202,2397.61,1937.0,23.78,25.24,130.7071
203,2396.50,1937.0,23.72,24.82,130.8303
204,2399.04,1937.0,23.85,24.42,132.2364
205,2407.38,1937.0,24.28,24.06,128.2222
206,2417.06,1937.0,24.78,24.08,129.1500
207,2421.64,1937.0,25.02,24.33,130.7394
208,2406.31,1937.0,24.23,24.43,130.7535
209,2404.69,1937.0,24.15,24.49,133.4788
210,2400.55,1937.0,23.93,24.42,132.8162
211,2412.12,1937.0,24.53,24.37,133.4141
212,2400.85,1937.0,23.95,24.16,132.2404
213,2396.63,1937.0,23.73,24.06,131.9980
214,2403.96,1937.0,24.11,24.05,133.7172
215,2402.73,1937.0,24.04,24.07,130.7717
216,2413.05,1937.0,24.58,24.08,133.9047
217,2415.31,1937.0,24.69,24.23,134.7394
218,2397.31,1937.0,23.76,24.24,132.1152
219,2403.41,1937.0,24.08,24.23,135.9152
220,2376.19,1937.0,22.67,23.96,137.9515
221,2389.69,1937.0,23.37,23.72,133.3010
222,2381.37,1937.0,22.94,23.37,132.9556
223,2388.10,1937.0,23.29,23.27,132.3179
224,2380.20,1937.0,22.88,23.03,134.5697
225,2401.08,1937.0,23.96,23.29,131.0465
226,2400.25,1937.0,23.92,23.40,131.4283
227,2411.15,1937.0,24.48,23.70,130.2263
228,2402.39,1937.0,24.03,23.85,133.6606
229,2406.10,1937.0,24.22,24.12,133.8202
230,2385.87,1937.0,23.17,23.96,134.6444
231,2378.91,1937.0,22.81,23.74,135.2776
232,2373.86,1937.0,22.55,23.36,135.0121
233,2406.15,1937.0,24.22,23.40,133.4775
234,2398.99,1937.0,23.85,23.32,133.8606
235,2390.71,1937.0,23.42,23.37,136.4485
236,2375.76,1937.0,22.65,23.34,138.5899
237,2376.04,1937.0,22.67,23.36,135.3152
238,2378.81,1937.0,22.81,23.08,135.7152
239,2367.70,1937.0,22.24,22.76,138.5515
240,2381.67,1937.0,22.96,22.66,131.5010
241,2395.70,1937.0,23.68,22.87,130.6333
242,2420.63,1937.0,24.97,23.33,130.4081
243,2382.32,1937.0,22.99,23.37,137.2283
244,2382.65,1937.0,23.01,23.52,135.4343
245,2396.07,1937.0,23.70,23.67,135.1455
246,2380.79,1937.0,22.91,23.52,136.4707
247,2398.73,1937.0,23.84,23.29,132.4404
248,2390.97,1937.0,23.44,23.38,136.1717
249,2382.89,1937.0,23.02,23.38,132.5758
250,2384.20,1937.0,23.09,23.26,137.3586
251,2403.56,1937.0,24.09,23.49,136.0061
252,2410.50,1937.0,24.45,23.62,138.3293
253,2383.48,1937.0,23.05,23.54,136.3212
254,2365.87,1937.0,22.14,23.36,139.9495
255,2374.87,1937.0,22.61,23.27,136.1030
256,2382.97,1937.0,23.02,23.05,137.1758
257,2385.84,1937.0,23.17,22.80,138.7838
258,2373.40,1937.0,22.53,22.69,139.8063
259,2377.90,1937.0,22.76,22.82,138.3596
260,2396.66,1937.0,23.73,23.04,139.1253
261,2387.36,1937.0,23.25,23.09,134.9192
262,2367.08,1937.0,22.20,22.90,137.5818
263,2367.29,1937.0,22.21,22.83,138.1010
264,2385.51,1937.0,23.15,22.91,137.1798
265,2390.37,1937.0,23.41,22.85,137.1273
266,2378.51,1937.0,22.79,22.75,133.9535
267,2372.32,1937.0,22.47,22.81,130.7697
268,2378.05,1937.0,22.77,22.92,136.3778
269,2388.57,1937.0,23.31,22.95,134.6384
270,2389.35,1937.0,23.35,22.94,139.0020
271,2383.75,1937.0,23.06,22.99,137.4606
272,2421.96,1937.0,25.04,23.51,133.6970
273,2371.90,1937.0,22.45,23.44,140.1111
274,2355.07,1937.0,21.58,23.10,138.9434
275,2352.14,1937.0,21.43,22.71,136.4838
276,2345.52,1937.0,21.09,22.32,141.0444
277,2352.57,1937.0,21.45,21.60,137.8545
278,2366.59,1937.0,22.18,21.55,141.0747
279,2352.99,1937.0,21.48,21.53,142.0162
280,2383.38,1937.0,23.04,21.85,133.0364
281,2375.39,1937.0,22.63,22.16,135.2970
282,2362.86,1937.0,21.99,22.26,138.1212
283,2367.33,1937.0,22.22,22.27,135.9556
284,2346.08,1937.0,21.12,22.20,144.3518
285,2332.87,1937.0,20.44,21.68,144.6869
286,2346.98,1937.0,21.17,21.38,138.6646
287,2385.50,1937.0,23.15,21.62,140.4646
288,2363.79,1937.0,22.03,21.58,143.1394
289,2334.66,1937.0,20.53,21.46,142.1596
290,2334.27,1937.0,20.51,21.48,143.4525
291,2327.91,1937.0,20.18,21.28,143.2929
292,2343.62,1937.0,20.99,20.85,144.4283
293,2345.93,1937.0,21.11,20.66,145.0061
294,2341.03,1937.0,20.86,20.73,144.5333
295,2331.43,1937.0,20.36,20.70,148.8990
296,2348.08,1937.0,21.22,20.91,146.5253
297,2320.56,1937.0,19.80,20.67,149.3010
298,2362.63,1937.0,21.97,20.84,144.1192
299,2338.80,1937.0,20.74,20.82,144.5232
300,2319.71,1937.0,19.76,20.70,146.8182
301,2333.38,1937.0,20.46,20.55,148.7191
302,2329.05,1937.0,20.24,20.64,144.6222
303,2332.26,1937.0,20.41,20.32,142.9414
304,2331.49,1937.0,20.37,20.25,145.4424
305,2326.76,1937.0,20.12,20.32,146.6525
306,2317.41,1937.0,19.64,20.15,150.3212
307,2331.71,1937.0,20.38,20.18,144.9333
308,2364.06,1937.0,22.05,20.51,143.8808
309,2345.22,1937.0,21.07,20.65,142.1434
310,2340.36,1937.0,20.82,20.79,144.8283
311,2356.60,1937.0,21.66,21.20,143.8384
312,2396.64,1937.0,23.73,21.87,141.8121
313,2361.93,1937.0,21.94,21.85,147.6525
314,2315.75,1937.0,19.55,21.54,143.8384
315,2366.97,1937.0,22.20,21.82,145.1980
316,2334.99,1937.0,20.55,21.59,146.0343
317,2326.69,1937.0,20.12,20.87,147.1152
318,2318.11,1937.0,19.68,20.42,146.1374
319,2320.13,1937.0,19.78,20.46,147.8929
320,2296.02,1937.0,18.53,19.73,147.3798
321,2325.52,1937.0,20.06,19.63,142.7535
322,2323.81,1937.0,19.97,19.60,142.4626
323,2315.45,1937.0,19.54,19.58,147.0404
324,2338.59,1937.0,20.73,19.77,138.5293
