iteration,makespan,bks,optimality gap,rolling_avg,reward_mean
1,0.00,2869.0,N/A,N/A,nan
2,4293.25,2869.0,49.64,49.64,168.8864
3,4293.25,2869.0,49.64,49.64,168.8864
4,4292.42,2869.0,49.61,49.63,169.4626
5,4267.30,2869.0,48.74,49.41,180.8828
6,4267.30,2869.0,48.74,49.28,180.8828
7,4201.31,2869.0,46.44,48.63,186.1980
8,4198.70,2869.0,46.35,47.98,187.7172
9,4198.70,2869.0,46.35,47.32,187.7172
10,4215.88,2869.0,46.95,46.96,187.0768
11,4246.91,2869.0,48.03,46.82,190.4768
12,4242.10,2869.0,47.86,47.11,190.2000
13,4129.74,2869.0,43.94,46.62,204.0606
14,4120.09,2869.0,43.61,46.08,206.9515
15,4091.64,2869.0,42.62,45.21,213.9879
16,4107.41,2869.0,43.17,44.24,210.8444
17,4107.79,2869.0,43.18,43.30,210.7111
18,4096.53,2869.0,42.79,43.07,210.1980
19,4074.92,2869.0,42.03,42.76,220.5111
20,4074.92,2869.0,42.03,42.64,220.5111
21,4086.05,2869.0,42.42,42.49,223.9434
22,4073.90,2869.0,42.00,42.25,231.3616
23,4073.90,2869.0,42.00,42.10,231.3616
24,4000.58,2869.0,39.44,41.58,237.4667
25,4018.43,2869.0,40.06,41.18,234.3677
26,4018.43,2869.0,40.06,40.71,234.3677
27,3997.10,2869.0,39.32,40.18,235.7576
28,3961.07,2869.0,38.06,39.39,244.9030
29,3952.99,2869.0,37.78,39.06,244.8081
30,3990.69,2869.0,39.10,38.87,236.9717
31,4008.21,2869.0,39.71,38.79,239.8040
32,4001.61,2869.0,39.48,38.83,240.1798
33,3963.69,2869.0,38.16,38.84,249.1051
34,3946.86,2869.0,37.57,38.80,250.9394
35,3944.13,2869.0,37.47,38.48,251.4970
36,3929.82,2869.0,36.98,37.93,247.5495
37,3932.52,2869.0,37.07,37.45,246.3576
38,3952.53,2869.0,37.77,37.37,244.5212
39,3907.48,2869.0,36.20,37.10,253.1394
40,3903.63,2869.0,36.06,36.81,254.2545
41,3910.42,2869.0,36.30,36.68,256.7798
42,3904.63,2869.0,36.10,36.48,252.6869
43,3905.26,2869.0,36.12,36.15,250.3495
44,3859.99,2869.0,34.54,35.82,258.8101
45,3843.25,2869.0,33.96,35.40,263.1111
46,3826.03,2869.0,33.36,34.81,263.9616
47,3829.18,2869.0,33.47,34.29,260.7172
48,3868.88,2869.0,34.85,34.04,259.9717
49,3869.83,2869.0,34.88,34.10,258.1111
