epoch,mean_gap_bks,cql_alpha,ta41,ta42,ta43,ta44,ta45,ta46,ta47,ta48,ta49,elapsed_s
1,43.9375,0.2500,44.5387,44.5534,48.5915,40.0202,41.7126,51.3473,45.3679,40.8363,38.4694,378.0
5,38.7431,0.2500,25.1372,44.9664,47.5081,52.0970,35.6034,36.4770,36.1038,37.3258,33.4694,1928.5
10,35.7150,0.2500,48.4289,34.7445,37.7573,31.4805,27.5914,40.4192,39.4389,34.1766,27.3980,3989.8
15,34.8734,0.2500,29.2768,52.1425,37.1073,29.6109,25.3380,31.0379,41.9269,36.7062,30.7143,5997.4
20,33.6313,0.2500,36.6584,42.2819,28.6566,42.7994,27.3911,38.0739,28.0042,33.9184,24.8980,8066.3
25,36.8864,0.2500,31.8204,34.8993,45.0704,36.3820,28.0421,42.3154,40.6564,37.8936,34.8980,10143.7
30,30.8398,0.2500,25.7357,36.3965,27.3023,28.1961,33.5003,33.2834,25.0926,29.5818,38.4694,12125.5
35,33.1048,0.2500,27.1322,28.7558,57.4215,35.5230,24.3866,33.1337,31.1805,30.5627,29.8469,14246.1
40,34.7705,0.2500,29.1272,37.4806,35.8613,29.2067,30.3956,36.6267,38.1683,38.8229,37.2449,16206.3
45,34.1975,0.2500,30.9227,45.6892,34.9946,31.7332,24.1863,49.3513,28.1101,33.4022,29.3878,18114.3
50,36.7538,0.2500,42.1446,40.7847,37.7573,44.6185,41.7626,38.0739,30.6511,29.6851,25.3061,20244.9
55,35.1868,0.2500,29.0773,38.2034,30.6067,52.5013,28.2424,37.5749,32.8745,34.6928,32.9082,22324.8
60,36.7345,0.2500,42.6434,35.5705,40.5742,41.1824,23.3350,48.6028,32.1334,33.6603,32.9082,24435.6
65,34.0989,0.2500,28.5287,37.0676,44.0412,43.4563,26.4897,29.1417,36.8449,38.5648,22.7551,26476.1
70,34.4645,0.2500,27.1820,50.6453,40.7909,32.9459,25.3881,36.7265,33.6157,37.2225,25.6633,28481.2
75,38.7184,0.2500,39.6010,34.4863,37.8115,30.7226,48.8733,41.0180,49.7088,32.1115,34.1327,30497.4
80,38.2998,0.2500,39.4514,34.2798,47.5623,39.3633,26.6400,49.3513,38.4330,32.5761,37.0408,32508.5
85,32.2480,0.2500,31.8703,37.4806,43.2286,24.9621,28.2924,35.6786,32.8745,24.1611,31.6837,34717.6
90,36.8151,0.2500,29.1272,35.7253,46.0455,47.6503,24.2364,37.9741,31.3393,48.1156,31.1224,36739.9
95,33.7423,0.2500,32.0200,38.1518,34.8862,36.3315,22.6840,47.7046,32.5040,27.0005,32.3980,38804.7
100,33.4858,0.2500,27.3815,51.1616,42.7952,29.8636,23.6855,30.7385,34.5686,30.7692,30.4082,40949.5
105,33.8381,0.2500,29.1771,31.0274,41.0618,38.8580,28.6930,33.8323,37.1625,33.5570,31.1735,42993.4
110,38.2770,0.2500,32.5187,43.3660,42.7952,35.6746,21.8828,61.9760,35.3097,39.1843,31.7857,45044.2
115,34.8092,0.2500,39.5511,37.7904,29.0899,35.3714,39.9099,26.8962,39.1212,29.7367,35.8163,47214.8
120,33.4771,0.2500,28.3791,26.3294,40.4659,40.0707,35.6535,40.7186,27.6337,30.6144,31.4286,49380.7
125,36.2355,0.2500,31.8204,30.2530,47.0206,25.3663,33.7506,43.0639,53.2028,26.8973,34.7449,51496.0
130,37.4836,0.2500,34.8628,34.4347,54.1170,34.3608,34.9524,40.9681,34.3039,40.5266,28.8265,53646.5
135,38.6725,0.2500,40.2494,26.0196,66.1430,39.5654,19.9800,50.0000,35.0979,37.1709,33.8265,55739.8
140,35.2870,0.2500,27.4314,37.8420,41.7660,32.3396,32.4987,32.4351,61.1964,24.5225,27.5510,57913.3
145,37.1331,0.2500,29.7257,32.9892,37.4865,38.6559,37.1557,44.8603,32.9275,38.2034,42.1939,59976.2
150,38.9083,0.2500,49.1272,30.4595,42.4702,39.8181,28.0421,31.4870,57.8613,42.7465,28.1633,62093.2
155,38.9975,0.2500,42.5436,28.0847,40.1950,33.7039,34.1012,45.2595,53.3616,26.3810,47.3469,64302.5
160,42.4098,0.2500,35.6608,50.7486,43.1203,35.5735,47.4712,37.8244,50.8735,31.0790,49.3367,66411.8
165,34.4131,0.2500,33.0673,36.9128,38.0823,40.5760,29.3941,30.7385,37.5331,34.3831,29.0306,68469.9
170,31.5859,0.2500,26.6334,27.3103,30.6609,36.7357,39.4091,33.7824,30.9688,25.8131,32.9592,70537.3
175,37.4595,0.2500,39.6010,47.9608,32.2860,37.2916,40.2604,37.8743,35.4685,40.4750,25.9184,72694.7
180,34.5618,0.2500,39.6010,37.3774,28.4399,25.4674,33.0496,48.9521,42.9328,24.4708,30.7653,74733.4
