epoch,mean_gap_bks,cql_alpha,ta41,ta42,ta43,ta44,ta45,ta46,ta47,ta48,ta49,elapsed_s
1,40.7188,0.2500,31.6209,51.1616,50.9751,35.5230,43.9159,35.8782,37.3213,40.9912,39.0816,413.8
5,37.2923,0.2500,33.9651,25.8647,36.7822,38.7064,33.8007,36.0279,48.2266,48.8384,33.4184,2096.7
10,33.5481,0.2500,27.7805,42.9530,34.6154,28.2466,30.0951,37.7745,26.6278,35.9319,37.9082,4234.2
15,35.0553,0.2500,36.1097,36.9128,39.4366,36.5336,33.7506,45.2595,32.6098,24.9871,29.8980,6471.4
20,35.2782,0.2500,40.1496,33.7636,42.6327,36.5336,30.9464,35.8782,36.9508,24.8322,35.8163,8629.9
25,31.1981,0.2500,24.1895,33.4022,39.1116,33.3502,28.4927,34.1317,26.8925,29.3753,31.8367,10868.7
30,34.6375,0.2500,25.8853,44.5018,35.3738,37.5442,25.2379,41.0679,37.7978,29.7367,34.5918,12967.2
35,33.5171,0.2500,23.4913,34.8477,32.5569,35.9778,35.0025,39.2216,31.2864,42.1270,27.1429,15065.4
40,34.0398,0.2500,29.7257,49.9742,37.9740,41.7383,26.9404,33.3832,31.7099,31.6985,23.2143,17078.4
45,33.6760,0.2500,27.1820,31.8018,53.0336,27.7918,25.3380,33.8323,31.4452,30.9241,41.7347,19285.1
50,30.7787,0.2500,25.5362,33.8152,35.8613,28.0445,28.0921,34.8303,35.4685,30.7176,24.6429,21306.2
55,37.2545,0.2500,34.5137,57.4600,42.0368,36.0283,37.4061,37.0259,29.6983,30.3562,30.7653,23452.1
60,33.3082,0.2500,31.6209,28.0330,33.6403,37.4432,32.6490,39.0719,33.5098,28.6526,35.1531,25584.5
65,34.4653,0.2500,27.8304,36.0351,48.2124,30.5205,24.4867,33.3832,36.2096,42.5916,30.9184,27689.1
70,33.1788,0.2500,31.8703,31.3371,33.9112,28.6508,26.9404,36.3273,35.9979,39.3392,34.2347,29779.1
75,34.2614,0.2500,30.8728,45.8957,33.4236,27.7413,27.9920,44.7605,32.0805,32.5761,33.0102,32031.9
80,33.8349,0.2500,34.7132,29.0139,34.5070,31.9859,21.8828,33.1337,39.5447,51.1100,28.6224,34134.4
85,37.9659,0.2500,44.8379,34.2798,47.9957,29.7120,29.9449,35.7784,38.0625,44.3986,36.6837,36233.0
90,34.0670,0.2500,29.2269,29.3237,35.9155,34.8661,20.0801,40.4192,35.7861,44.8116,36.1735,38372.8
95,31.9882,0.2500,30.9726,26.8456,29.5233,38.7569,26.4897,41.6168,38.4330,30.5111,24.7449,40480.2
100,35.2538,0.2500,36.1596,30.7176,37.6490,37.7969,24.2864,34.9301,39.6506,41.0428,35.0510,42578.3
105,34.0100,0.2500,33.9651,32.9892,53.5753,34.2092,23.0346,31.3872,28.1101,42.9014,25.9184,44714.5
110,34.7374,0.2500,31.0723,46.1022,32.7194,26.4275,30.1452,45.3094,40.3388,31.4404,29.0816,46824.8
115,34.3975,0.2500,29.3766,37.9969,28.3315,32.0364,32.1983,38.7226,37.3743,32.2148,41.3265,48901.4
120,31.7993,0.2500,25.6858,36.9644,39.5450,33.2996,28.1923,27.1457,29.8041,38.7197,26.8367,51010.1
125,31.6172,0.2500,22.6933,34.6928,30.8234,28.1961,33.6004,30.0399,42.2975,36.2932,25.9184,53190.6
130,39.1231,0.2500,26.7830,52.0392,56.4464,34.4113,26.0391,42.6148,39.1742,39.8038,34.7959,55178.9
135,35.6148,0.2500,23.3416,31.2339,40.5200,41.8393,39.6094,47.7545,33.7745,27.0005,35.4592,57268.7
140,33.7760,0.2500,39.2020,41.4042,36.4572,33.5523,27.2909,33.3333,30.0688,32.3180,30.3571,59398.4
145,34.2955,0.2500,28.5786,32.2664,42.1993,30.3689,32.3986,29.0918,48.4383,31.4404,33.8776,61443.3
150,32.6444,0.2500,24.4888,26.6391,38.7324,31.0763,29.0936,43.2635,41.3976,37.0676,22.0408,63495.6
155,35.7955,0.2500,41.8454,30.5111,38.5699,31.8343,33.6004,42.3653,37.5331,28.8591,37.0408,65641.0
160,35.1825,0.2500,31.0723,38.2550,39.8700,26.8317,29.7446,38.8723,38.8565,45.8441,27.2959,67626.4
165,32.6835,0.2500,23.8903,51.0583,28.1690,30.9752,25.8388,35.6287,32.6628,35.6221,30.3061,69747.8
170,35.8312,0.2500,29.1272,39.1327,42.1993,35.0177,31.8478,28.1437,43.9386,35.8286,37.2449,71837.3
175,30.5022,0.2500,30.4239,35.8802,44.6371,32.6427,27.3911,28.3932,20.9105,26.5875,27.6531,73948.0
180,34.4275,0.2500,29.2768,27.0521,49.6750,44.0627,22.6340,43.1138,29.0101,32.3696,32.6531,76014.9
185,36.5074,0.2500,38.4539,36.5514,32.9902,38.2011,27.4912,35.8283,37.7978,37.1709,44.0816,78110.5
190,32.4842,0.2500,25.8354,22.7672,38.9491,31.4805,34.3515,50.7485,34.5156,24.8838,28.8265,80194.2
195,34.5795,0.2500,32.1696,33.1440,42.2535,31.8848,22.4837,44.4611,31.0746,40.7847,32.9592,82292.4
