iteration,makespan,bks,optimality gap
188,3346.71,Dynamic,0.00
189,3356.32,Dynamic,0.00
190,3346.13,Dynamic,0.00
191,3338.14,Dynamic,0.00
192,3321.06,Dynamic,0.00
193,3341.65,Dynamic,0.00
194,3361.69,Dynamic,0.00
195,3330.94,Dynamic,0.00
196,3315.48,Dynamic,0.00
197,3329.55,Dynamic,0.00
198,3354.36,Dynamic,0.00
199,3355.70,Dynamic,0.00
200,3335.56,Dynamic,0.00
201,3345.15,Dynamic,0.00
202,3361.78,Dynamic,0.00
203,3383.60,Dynamic,0.00
204,3377.67,Dynamic,0.00
205,3376.35,Dynamic,0.00
206,3342.63,Dynamic,0.00
207,3317.21,Dynamic,0.00
208,3326.61,Dynamic,0.00
209,3322.05,Dynamic,0.00
210,3347.93,Dynamic,0.00
211,3363.76,Dynamic,0.00
212,3327.45,Dynamic,0.00
213,3339.07,Dynamic,0.00
214,3337.95,Dynamic,0.00
215,3328.05,Dynamic,0.00
216,3350.94,Dynamic,0.00
217,3346.46,Dynamic,0.00
218,3341.60,Dynamic,0.00
219,3332.19,Dynamic,0.00
220,3343.45,Dynamic,0.00
221,3317.58,Dynamic,0.00
222,3314.81,Dynamic,0.00
223,3309.55,Dynamic,0.00
224,3317.50,Dynamic,0.00
225,3362.18,Dynamic,0.00
226,3383.37,Dynamic,0.00
227,3369.98,Dynamic,0.00
228,3331.37,Dynamic,0.00
229,3324.73,Dynamic,0.00
230,3343.48,Dynamic,0.00
231,3348.04,Dynamic,0.00
232,3328.66,Dynamic,0.00
233,3332.90,Dynamic,0.00
234,3334.70,Dynamic,0.00
235,3324.15,Dynamic,0.00
236,3323.19,Dynamic,0.00
237,3368.67,Dynamic,0.00
238,3342.49,Dynamic,0.00
239,3305.75,Dynamic,0.00
240,3325.77,Dynamic,0.00
241,3316.96,Dynamic,0.00
242,3346.02,Dynamic,0.00
243,3322.08,Dynamic,0.00
244,3304.40,Dynamic,0.00
245,3324.60,Dynamic,0.00
246,3349.51,Dynamic,0.00
247,3330.71,Dynamic,0.00
248,3311.05,Dynamic,0.00
249,3308.05,Dynamic,0.00
250,3328.58,Dynamic,0.00
251,3317.18,Dynamic,0.00
252,3299.93,Dynamic,0.00
253,3289.77,Dynamic,0.00
254,3285.71,Dynamic,0.00
255,3282.47,Dynamic,0.00
256,3320.24,Dynamic,0.00
257,3345.85,Dynamic,0.00
258,3309.57,Dynamic,0.00
259,3301.57,Dynamic,0.00
260,3315.08,Dynamic,0.00
261,3294.69,Dynamic,0.00
262,3299.46,Dynamic,0.00
263,3305.30,Dynamic,0.00
264,3292.28,Dynamic,0.00
265,3279.84,Dynamic,0.00
266,3321.94,Dynamic,0.00
267,3301.75,Dynamic,0.00
268,3265.46,Dynamic,0.00
269,3279.82,Dynamic,0.00
270,3295.19,Dynamic,0.00
271,3302.63,Dynamic,0.00
272,3320.33,Dynamic,0.00
273,3311.61,Dynamic,0.00
274,3325.55,Dynamic,0.00
275,3313.88,Dynamic,0.00
276,3299.88,Dynamic,0.00
277,3306.02,Dynamic,0.00
278,3309.01,Dynamic,0.00
279,3315.15,Dynamic,0.00
280,3307.79,Dynamic,0.00
281,3296.71,Dynamic,0.00
282,3294.01,Dynamic,0.00
283,3315.15,Dynamic,0.00
284,3332.87,Dynamic,0.00
285,3292.41,Dynamic,0.00
286,3276.02,Dynamic,0.00
287,3273.19,Dynamic,0.00
288,3291.64,Dynamic,0.00
