epoch,mean_gap_bks,cql_alpha,ta51,ta52,ta53,ta54,ta55,ta56,ta57,ta58,ta59,elapsed_s
1,32.6251,1.0000,32.6087,34.1800,25.2484,29.3413,35.9836,31.7871,27.9647,39.8267,36.6855,402.0
5,29.2482,1.0000,24.6014,38.5704,23.1505,25.7837,27.6596,31.8590,26.6055,25.7192,39.2844,2025.4
10,25.5073,0.5000,25.2174,24.2017,26.7943,25.0793,25.5319,28.2273,19.8437,27.1750,27.4953,4073.0
15,25.6520,0.5000,27.9348,19.0856,23.3714,27.6506,22.4337,20.4603,25.4502,26.9671,37.5141,6156.4
20,24.4051,0.5000,27.8986,26.9231,20.3533,18.9151,26.2038,21.4311,21.5426,20.0693,36.3089,8249.2
25,20.5073,0.7500,28.1159,21.0813,17.0777,15.7450,23.6282,19.8130,18.7903,16.8111,23.5028,10429.1
30,19.7535,0.7500,23.1159,21.9884,16.3416,17.9288,18.4397,26.5013,16.6157,20.2773,16.5725,12511.6
35,23.4628,1.0000,17.3188,27.2496,19.2860,21.5921,24.7854,26.0698,22.7999,25.9619,26.1017,14552.2
40,20.8117,1.0000,23.8406,29.0276,13.0659,21.4512,26.9504,22.0065,16.0041,16.8804,18.0791,16643.8
45,20.5139,1.0000,20.0362,23.2221,15.3846,24.4452,20.0448,20.0647,18.8923,13.3449,29.1902,18732.3
50,18.7483,1.0000,18.5145,22.4964,12.3298,15.1814,27.0250,17.1521,20.4553,17.5390,18.0414,20901.9
55,19.2104,1.0000,21.7029,17.2351,12.7346,18.0697,24.2255,21.4671,15.8002,17.8163,23.8418,22892.8
60,21.6679,1.0000,21.4493,25.0000,14.8693,20.4297,22.9563,19.3456,23.7513,22.4263,24.7834,24931.0
65,20.4073,1.0000,22.0290,31.3861,23.4450,16.8369,18.2531,16.1093,17.8050,18.8562,18.9454,26974.1
70,21.3124,1.0000,19.6739,28.7736,18.8075,17.9641,20.9033,19.3456,17.6011,23.4315,25.3107,29071.4
