iteration,makespan,bks,optimality gap
188,2558.97,Dynamic,0.00
189,2552.13,Dynamic,0.00
190,2553.80,Dynamic,0.00
191,2555.24,Dynamic,0.00
192,2539.79,Dynamic,0.00
193,2544.55,Dynamic,0.00
194,2533.71,Dynamic,0.00
195,2522.13,Dynamic,0.00
196,2553.45,Dynamic,0.00
197,2547.72,Dynamic,0.00
198,2540.10,Dynamic,0.00
199,2529.57,Dynamic,0.00
200,2567.53,Dynamic,0.00
201,2561.69,Dynamic,0.00
202,2520.71,Dynamic,0.00
203,2502.51,Dynamic,0.00
204,2504.57,Dynamic,0.00
205,2528.99,Dynamic,0.00
206,2538.02,Dynamic,0.00
207,2550.25,Dynamic,0.00
208,2539.37,Dynamic,0.00
209,2528.83,Dynamic,0.00
210,2552.16,Dynamic,0.00
211,2530.12,Dynamic,0.00
212,2549.76,Dynamic,0.00
213,2508.60,Dynamic,0.00
214,2508.18,Dynamic,0.00
215,2510.26,Dynamic,0.00
216,2511.67,Dynamic,0.00
217,2533.95,Dynamic,0.00
218,2557.56,Dynamic,0.00
219,2550.63,Dynamic,0.00
220,2518.94,Dynamic,0.00
221,2562.75,Dynamic,0.00
222,2526.66,Dynamic,0.00
223,2482.63,Dynamic,0.00
224,2505.08,Dynamic,0.00
225,2512.38,Dynamic,0.00
226,2505.72,Dynamic,0.00
227,2495.79,Dynamic,0.00
228,2518.46,Dynamic,0.00
229,2515.80,Dynamic,0.00
230,2478.30,Dynamic,0.00
231,2485.14,Dynamic,0.00
232,2494.95,Dynamic,0.00
233,2505.37,Dynamic,0.00
234,2495.69,Dynamic,0.00
235,2492.79,Dynamic,0.00
236,2495.79,Dynamic,0.00
237,2512.10,Dynamic,0.00
238,2484.18,Dynamic,0.00
239,2465.49,Dynamic,0.00
240,2503.91,Dynamic,0.00
241,2484.75,Dynamic,0.00
242,2480.88,Dynamic,0.00
243,2511.98,Dynamic,0.00
244,2470.61,Dynamic,0.00
245,2479.14,Dynamic,0.00
246,2475.16,Dynamic,0.00
247,2502.05,Dynamic,0.00
248,2464.98,Dynamic,0.00
249,2480.60,Dynamic,0.00
250,2481.02,Dynamic,0.00
251,2462.03,Dynamic,0.00
252,2472.44,Dynamic,0.00
253,2464.16,Dynamic,0.00
254,2455.03,Dynamic,0.00
255,2446.08,Dynamic,0.00
256,2475.90,Dynamic,0.00
257,2443.95,Dynamic,0.00
258,2461.53,Dynamic,0.00
259,2420.80,Dynamic,0.00
260,2440.89,Dynamic,0.00
261,2466.84,Dynamic,0.00
262,2472.50,Dynamic,0.00
263,2439.88,Dynamic,0.00
264,2444.07,Dynamic,0.00
265,2466.50,Dynamic,0.00
266,2415.83,Dynamic,0.00
267,2435.53,Dynamic,0.00
268,2460.54,Dynamic,0.00
269,2467.85,Dynamic,0.00
270,2453.20,Dynamic,0.00
271,2459.76,Dynamic,0.00
272,2444.52,Dynamic,0.00
273,2455.10,Dynamic,0.00
274,2440.21,Dynamic,0.00
275,2458.01,Dynamic,0.00
276,2449.58,Dynamic,0.00
277,2454.56,Dynamic,0.00
278,2431.68,Dynamic,0.00
279,2437.18,Dynamic,0.00
280,2470.64,Dynamic,0.00
281,2463.63,Dynamic,0.00
282,2417.46,Dynamic,0.00
283,2430.20,Dynamic,0.00
284,2430.58,Dynamic,0.00
285,2441.31,Dynamic,0.00
286,2451.30,Dynamic,0.00
287,2454.53,Dynamic,0.00
288,2463.66,Dynamic,0.00
289,2444.36,Dynamic,0.00
290,2447.43,Dynamic,0.00
291,2437.55,Dynamic,0.00
292,2415.66,Dynamic,0.00
293,2474.94,Dynamic,0.00
294,2493.64,Dynamic,0.00
295,2460.71,Dynamic,0.00
296,2452.95,Dynamic,0.00
297,2434.57,Dynamic,0.00
298,2429.57,Dynamic,0.00
299,2454.06,Dynamic,0.00
300,2443.73,Dynamic,0.00
301,2467.50,Dynamic,0.00
302,2431.51,Dynamic,0.00
303,2413.60,Dynamic,0.00
304,2393.74,Dynamic,0.00
305,2449.75,Dynamic,0.00
306,2464.38,Dynamic,0.00
307,2483.13,Dynamic,0.00
308,2454.14,Dynamic,0.00
309,2479.13,Dynamic,0.00
310,2453.40,Dynamic,0.00
311,2460.12,Dynamic,0.00
312,2473.01,Dynamic,0.00
313,2406.07,Dynamic,0.00
314,2397.55,Dynamic,0.00
315,2388.00,Dynamic,0.00
316,2413.01,Dynamic,0.00
317,2436.55,Dynamic,0.00
318,2434.14,Dynamic,0.00
319,2427.63,Dynamic,0.00
320,2467.15,Dynamic,0.00
321,2437.12,Dynamic,0.00
322,2409.44,Dynamic,0.00
323,2416.63,Dynamic,0.00
324,2403.47,Dynamic,0.00
325,2394.47,Dynamic,0.00
326,2392.35,Dynamic,0.00
327,2424.99,Dynamic,0.00
328,2424.97,Dynamic,0.00
329,2403.43,Dynamic,0.00
330,2405.51,Dynamic,0.00
331,2448.57,Dynamic,0.00
332,2423.51,Dynamic,0.00
333,2416.03,Dynamic,0.00
334,2396.22,Dynamic,0.00
335,2402.96,Dynamic,0.00
336,2399.28,Dynamic,0.00
337,2415.06,Dynamic,0.00
338,2427.09,Dynamic,0.00
339,2408.11,Dynamic,0.00
340,2441.09,Dynamic,0.00
341,2417.26,Dynamic,0.00
342,2428.57,Dynamic,0.00
343,2445.62,Dynamic,0.00
344,2435.18,Dynamic,0.00
345,2424.08,Dynamic,0.00
346,2421.29,Dynamic,0.00
347,2432.15,Dynamic,0.00
348,2479.44,Dynamic,0.00
349,2443.59,Dynamic,0.00
350,2465.16,Dynamic,0.00
351,2428.30,Dynamic,0.00
352,2414.48,Dynamic,0.00
353,2400.95,Dynamic,0.00
354,2407.98,Dynamic,0.00
355,2423.04,Dynamic,0.00
356,2424.24,Dynamic,0.00
357,2397.19,Dynamic,0.00
358,2399.10,Dynamic,0.00
359,2424.99,Dynamic,0.00
360,2455.60,Dynamic,0.00
361,2428.17,Dynamic,0.00
362,2429.33,Dynamic,0.00
363,2429.57,Dynamic,0.00
364,2416.43,Dynamic,0.00
365,2452.01,Dynamic,0.00
366,2430.96,Dynamic,0.00
367,2385.27,Dynamic,0.00
368,2388.43,Dynamic,0.00
