iteration,makespan,bks,optimality gap,rolling_avg,reward_mean
1,2999.90,1937.0,54.87,54.87,8.6494
2,3025.32,1937.0,56.19,55.53,9.1030
3,3010.15,1937.0,55.40,55.49,11.6505
4,3003.06,1937.0,55.04,55.37,18.2081
5,3009.41,1937.0,55.36,55.37,19.7212
6,2942.79,1937.0,51.93,54.78,26.0909
7,2904.97,1937.0,49.97,53.54,31.2202
8,2923.03,1937.0,50.91,52.64,31.3051
9,2949.74,1937.0,52.28,52.09,30.7131
10,2933.16,1937.0,51.43,51.30,26.6667
11,2932.57,1937.0,51.40,51.20,32.1636
12,2923.00,1937.0,50.90,51.38,30.2182
13,2911.58,1937.0,50.31,51.27,31.6768
14,2925.16,1937.0,51.01,51.01,29.0343
15,2900.47,1937.0,49.74,50.67,34.1960
16,2862.42,1937.0,47.78,49.95,41.0040
17,2851.69,1937.0,47.22,49.21,41.4081
18,2862.06,1937.0,47.76,48.70,46.3434
19,2843.90,1937.0,46.82,47.86,45.6242
20,2840.80,1937.0,46.66,47.25,48.1657
21,2814.93,1937.0,45.32,46.76,52.4929
22,2825.99,1937.0,45.90,46.49,54.0566
23,2823.67,1937.0,45.78,46.09,58.8384
24,2763.59,1937.0,42.67,45.27,59.5233
25,2761.42,1937.0,42.56,44.45,63.0948
26,2763.25,1937.0,42.66,43.91,60.2566
27,2737.82,1937.0,41.34,43.00,61.1899
28,2775.12,1937.0,43.27,42.50,64.1717
29,2797.95,1937.0,44.45,42.86,65.5051
30,2737.30,1937.0,41.32,42.61,65.3737
31,2682.92,1937.0,38.51,41.78,68.8444
32,2702.88,1937.0,39.54,41.42,66.0747
33,2724.19,1937.0,40.64,40.89,68.8606
34,2673.47,1937.0,38.02,39.61,69.8606
35,2668.46,1937.0,37.76,38.89,73.1293
36,2681.34,1937.0,38.43,38.88,77.2463
37,2701.30,1937.0,39.46,38.86,78.5780
38,2614.88,1937.0,35.00,37.73,81.7576
39,2643.76,1937.0,36.49,37.43,79.9192
40,2667.95,1937.0,37.74,37.42,78.1515
41,2652.19,1937.0,36.92,37.12,82.9394
42,2660.62,1937.0,37.36,36.70,84.3273
43,2663.42,1937.0,37.50,37.20,83.0121
44,2653.03,1937.0,36.97,37.30,84.2747
45,2640.83,1937.0,36.34,37.02,81.4909
46,2647.96,1937.0,36.70,36.97,82.6020
47,2663.42,1937.0,37.50,37.00,80.9369
48,2650.48,1937.0,36.83,36.87,83.0005
49,2645.06,1937.0,36.55,36.79,85.6990
50,2623.42,1937.0,35.44,36.61,82.2202
51,2648.41,1937.0,36.73,36.61,82.1515
52,2674.18,1937.0,38.06,36.72,82.3071
53,2637.48,1937.0,36.16,36.59,85.7394
54,2646.14,1937.0,36.61,36.60,85.7293
55,2635.37,1937.0,36.05,36.72,87.0162
56,2622.74,1937.0,35.40,36.46,89.6230
57,2599.88,1937.0,34.22,35.69,88.8381
58,2628.08,1937.0,35.68,35.59,85.6990
59,2617.40,1937.0,35.13,35.30,88.6424
60,2614.69,1937.0,34.99,35.08,92.5576
61,2591.64,1937.0,33.80,34.76,92.3636
62,2591.20,1937.0,33.77,34.67,88.4283
63,2595.32,1937.0,33.99,34.33,92.4101
64,2606.70,1937.0,34.57,34.22,93.5515
65,2589.93,1937.0,33.71,33.97,92.0586
66,2613.63,1937.0,34.93,34.19,92.0023
67,2596.00,1937.0,34.02,34.24,92.7475
68,2585.84,1937.0,33.50,34.15,94.5859
69,2597.33,1937.0,34.09,34.05,92.6525
70,2588.47,1937.0,33.63,34.03,90.3475
71,2616.07,1937.0,35.06,34.06,90.7212
72,2614.06,1937.0,34.95,34.25,91.7091
73,2592.21,1937.0,33.83,34.31,91.6182
74,2598.36,1937.0,34.14,34.32,93.3152
75,2584.56,1937.0,33.43,34.28,93.3414
76,2591.92,1937.0,33.81,34.03,91.8525
77,2587.87,1937.0,33.60,33.76,94.4990
78,2605.46,1937.0,34.51,33.90,94.2667
79,2586.74,1937.0,33.54,33.78,100.1616
80,2580.76,1937.0,33.23,33.74,98.2343
81,2551.82,1937.0,31.74,33.33,99.8081
82,2564.94,1937.0,32.42,33.09,102.0444
83,2555.47,1937.0,31.93,32.57,104.6687
84,2531.20,1937.0,30.68,32.00,105.3699
85,2554.20,1937.0,31.86,31.73,104.7082
86,2545.99,1937.0,31.44,31.67,102.8040
87,2532.20,1937.0,30.73,31.33,108.1798
88,2527.68,1937.0,30.49,31.04,104.8283
89,2518.81,1937.0,30.04,30.91,108.7515
90,2520.78,1937.0,30.14,30.57,104.4040
91,2531.49,1937.0,30.69,30.42,107.1657
92,2513.30,1937.0,29.75,30.22,108.8384
93,2502.76,1937.0,29.21,29.97,109.9156
94,2496.20,1937.0,28.87,29.73,112.3131
95,2512.26,1937.0,29.70,29.64,112.9394
96,2499.39,1937.0,29.03,29.31,114.5354
97,2508.49,1937.0,29.50,29.26,112.1717
98,2502.63,1937.0,29.20,29.26,110.0566
99,2501.43,1937.0,29.14,29.32,112.2424
100,2491.48,1937.0,28.63,29.10,115.5273
101,2485.74,1937.0,28.33,28.96,116.4950
102,2490.08,1937.0,28.55,28.77,116.1442
103,2521.12,1937.0,30.16,28.96,112.1495
104,2502.22,1937.0,29.18,28.97,117.3899
105,2492.95,1937.0,28.70,28.98,113.4485
106,2504.12,1937.0,29.28,29.17,115.3919
107,2490.32,1937.0,28.57,29.18,120.4768
108,2447.45,1937.0,26.35,28.42,120.6005
109,2480.58,1937.0,28.06,28.19,120.8283
110,2453.92,1937.0,26.69,27.79,121.8146
111,2449.85,1937.0,26.48,27.23,120.1313
112,2452.63,1937.0,26.62,26.84,118.9677
113,2472.73,1937.0,27.66,27.10,120.0020
114,2466.10,1937.0,27.32,26.95,123.7758
115,2441.20,1937.0,26.03,26.82,122.9717
116,2457.64,1937.0,26.88,26.90,120.5698
117,2452.15,1937.0,26.60,26.90,122.9071
118,2441.96,1937.0,26.07,26.58,121.4503
119,2424.82,1937.0,25.18,26.15,121.3434
120,2446.52,1937.0,26.30,26.21,123.9838
121,2447.38,1937.0,26.35,26.10,125.2283
122,2443.70,1937.0,26.16,26.01,123.6909
123,2447.45,1937.0,26.35,26.07,124.0505
124,2426.42,1937.0,25.27,26.09,125.2838
125,2468.41,1937.0,27.43,26.31,124.5416
126,2420.51,1937.0,24.96,26.04,124.8566
127,2452.65,1937.0,26.62,26.13,123.6121
128,2442.55,1937.0,26.10,26.08,127.3010
129,2413.70,1937.0,24.61,25.95,128.7859
130,2452.16,1937.0,26.60,25.78,125.6121
131,2418.55,1937.0,24.86,25.76,126.3765
132,2442.70,1937.0,26.11,25.65,125.6160
133,2432.55,1937.0,25.58,25.55,129.2848
134,2392.13,1937.0,23.50,25.33,129.1657
135,2433.56,1937.0,25.64,25.14,125.6525
136,2409.44,1937.0,24.39,25.04,125.8788
137,2411.36,1937.0,24.49,24.72,129.1394
138,2418.76,1937.0,24.87,24.58,126.8404
139,2445.17,1937.0,26.23,25.12,130.9024
140,2415.63,1937.0,24.71,24.94,131.8112
141,2416.02,1937.0,24.73,25.01,130.6364
142,2417.17,1937.0,24.79,25.07,129.3616
143,2413.25,1937.0,24.59,25.01,130.2505
