epoch,mean_gap_bks,cql_alpha,ta41,ta42,ta43,ta44,ta45,ta46,ta47,ta48,ta49,elapsed_s
1,37.5156,0.2500,32.5686,37.6871,37.5406,42.8499,31.5473,43.5130,35.3626,42.5916,33.9796,375.4
5,36.9177,0.2500,34.3142,39.7006,35.1029,44.7701,31.5473,40.9681,34.9391,30.3046,40.6122,1815.7
10,35.6454,0.2500,35.7107,45.6892,32.1235,38.8075,32.3485,41.9661,28.6395,31.5436,33.9796,3791.1
15,32.7543,0.2500,26.8329,36.9128,44.9621,36.4325,32.5488,34.2315,31.8687,28.6009,22.3980,5645.0
20,34.5506,0.2500,36.5087,30.8725,42.0368,35.4219,30.9464,37.8244,34.5156,28.0330,34.7959,7501.7
25,32.3428,0.2500,29.9751,39.7006,32.5027,38.5548,29.3440,34.3313,35.6803,28.3944,22.6020,9418.1
30,30.6214,0.2500,31.0224,32.2664,34.2904,27.8423,27.8918,30.7385,34.5156,29.0656,27.9592,11273.8
35,31.1597,0.2500,27.1322,36.9644,35.8613,27.5392,25.4382,33.9321,34.8862,31.2855,27.3980,13129.6
40,36.0307,0.2500,32.0698,46.1538,37.7573,34.9166,28.8933,34.8802,31.4452,38.8229,39.3367,15075.0
45,29.9115,0.2500,26.3840,42.6433,27.1398,31.7837,34.8523,38.2236,21.3870,22.0960,24.6939,16981.5
50,33.0071,0.5000,33.5661,26.3294,44.4745,40.9803,29.6445,35.2295,31.4981,29.1172,26.2245,18912.9
55,33.6864,0.5000,27.1322,34.7961,36.0238,33.4512,31.5974,46.8563,31.5511,33.4022,28.3673,20749.5
60,30.6362,0.5000,30.1247,27.3103,34.0737,25.1642,29.2939,40.2695,27.7925,31.5953,30.1020,22901.9
65,30.2250,0.5000,26.5337,32.3696,29.5775,30.6721,31.3971,29.3413,28.2689,33.7119,30.1531,24757.2
70,32.8960,0.5000,28.1796,48.3221,29.3608,26.8317,35.4031,30.0399,29.0101,33.7636,35.1531,26768.8
75,32.3661,0.5000,25.0873,33.3505,38.1907,38.5043,33.2499,35.1297,31.4981,31.1822,25.1020,28672.7
80,34.7735,0.5000,33.1671,36.1384,37.1073,28.7519,30.5959,31.6866,46.5855,34.7961,34.1327,30527.0
