epoch,mean_gap_bks,cql_alpha,ta41,ta42,ta43,ta44,ta45,ta46,ta47,ta48,ta49,elapsed_s
1,43.9411,1.0000,40.1995,36.7579,43.4995,44.6185,40.1602,60.1297,54.8438,43.9339,31.3265,438.4
5,46.5667,1.0000,66.8329,56.2210,32.5027,48.2567,40.1102,52.7445,49.8147,40.4750,32.1429,1964.3
10,39.4015,0.2500,32.2693,33.6087,46.3164,50.3790,33.8007,37.3253,50.0265,40.8363,30.0510,4012.0
15,37.9534,0.2500,42.5436,37.0676,32.5569,45.7302,32.4987,31.7864,50.8735,39.4424,29.0816,5907.6
20,35.5928,0.2500,33.1172,39.7006,34.7779,40.5760,25.3380,37.5250,27.6866,41.8689,39.7449,7977.9
25,42.0831,0.2500,54.0150,36.7579,49.0249,47.4987,33.0496,39.6208,41.1329,38.7197,38.9286,9923.9
30,36.7428,0.2500,33.8155,37.4290,45.5038,42.8499,39.6094,39.6707,36.9508,31.2339,23.6224,11873.2
35,33.4483,0.2500,35.8105,29.1172,43.6078,36.7863,31.6475,40.9681,23.1869,31.5436,28.3673,13986.7
40,34.5960,0.2500,32.9177,41.9721,36.8906,30.6721,29.5944,35.3792,34.9921,31.9050,37.0408,15924.9
45,33.1337,0.2500,32.3192,40.2685,24.9187,36.2304,35.8037,34.9800,25.0926,36.3965,32.1939,17821.6
50,33.7073,0.2500,26.2843,27.4652,42.5785,36.9378,41.1117,32.7844,37.3743,35.0026,23.8265,19789.3
55,33.5106,0.2500,24.2394,33.7119,34.1278,37.4937,40.3105,38.8723,30.4923,34.8477,27.5000,21883.9
60,34.4653,0.2500,34.3142,35.8286,38.6782,35.9778,30.6460,39.7206,38.7507,30.0981,26.1735,23958.3
65,33.5737,0.2500,30.6733,40.2685,29.8483,36.9378,36.4046,37.2255,30.2806,35.9835,24.5408,25949.1
70,38.8903,0.2500,28.3292,41.6624,36.8364,38.3527,34.7021,47.2555,46.0561,37.5839,39.2347,27994.7
75,36.1581,0.2500,39.7506,38.7197,33.3694,33.2491,31.7977,37.7246,33.9862,46.8766,29.9490,29915.3
80,36.3881,0.2500,30.1247,38.4615,43.2828,40.0707,36.4547,37.7745,39.7035,29.3753,32.2449,31915.6
85,35.2867,0.2500,24.9377,40.5782,43.4995,48.3072,31.0966,39.5709,23.7692,35.1575,30.6633,33854.6
