epoch,mean_gap_bks,cql_alpha,ta71,ta72,ta73,ta74,ta75,ta76,ta77,ta78,ta79,elapsed_s
1,19.1391,1.0000,20.1318,22.3702,18.7141,23.4875,15.4303,18.7945,18.7638,20.2447,14.3150,527.3
5,15.4969,1.0000,14.9890,20.0154,15.7687,17.6812,17.6929,15.4062,11.1295,10.0667,16.7227,2517.9
10,14.9203,1.5000,14.2020,16.5798,14.6552,17.7561,15.0037,13.5155,11.8653,16.1846,14.5203,4945.6
15,16.2137,2.0000,17.6611,15.3059,18.0855,10.2079,23.5720,17.6900,12.5276,16.0920,14.7816,7225.2
20,15.3712,2.0000,13.4883,13.8004,15.4095,12.6615,19.1951,21.6398,14.5511,12.3841,15.2109,9909.7
25,15.3062,2.0000,13.3419,15.2480,13.2004,17.2317,12.7596,16.5294,18.7638,16.9448,13.7365,12269.4
30,15.3060,2.0000,12.2804,19.5908,13.6315,13.4669,19.6217,19.9364,11.7366,11.4386,16.0508,14675.1
35,14.9132,2.0000,18.8141,12.9126,10.7938,14.3285,19.1395,15.3313,13.4290,16.6852,12.7846,16941.6
40,14.3053,2.0000,11.8777,14.9585,17.4210,13.5231,21.0497,14.1333,12.4172,11.1235,12.2434,19443.1
45,13.0733,2.0000,14.1837,13.0284,9.1415,10.6012,15.4859,14.2830,15.2686,13.2184,12.4487,21804.4
50,15.7479,2.0000,17.3499,16.6184,18.0675,9.7022,18.7315,18.2516,19.1869,12.7178,11.1049,24220.5
55,13.0159,2.0000,12.1889,9.0330,14.3319,15.7895,15.6157,14.0771,11.8102,11.6426,12.6540,26681.8
60,15.0623,2.0000,12.1157,24.4161,12.5718,15.4711,14.0208,19.8428,12.1965,12.4583,12.4673,29336.6
