iteration,makespan,bks,optimality gap,rolling_avg,reward_mean
1,0.00,2869.0,N/A,N/A,nan
2,4412.28,2869.0,53.79,53.79,150.7475
3,4412.28,2869.0,53.79,53.79,150.7475
4,4397.29,2869.0,53.27,53.62,151.1535
5,4463.19,2869.0,55.57,54.10,148.9152
6,4463.19,2869.0,55.57,54.40,148.9152
7,4377.31,2869.0,52.57,54.15,156.9455
8,4329.08,2869.0,50.89,53.57,175.7535
9,4329.08,2869.0,50.89,53.10,175.7535
10,4293.56,2869.0,49.65,51.92,176.6283
11,4249.81,2869.0,48.13,50.43,191.4263
12,4242.15,2869.0,47.86,49.49,191.1172
13,4218.36,2869.0,47.03,48.71,189.2525
14,4208.82,2869.0,46.70,47.88,193.6061
15,4204.02,2869.0,46.53,47.25,193.1879
16,4189.71,2869.0,46.03,46.83,189.7939
17,4186.41,2869.0,45.92,46.44,190.2687
18,4181.84,2869.0,45.76,46.19,195.1475
19,4165.46,2869.0,45.19,45.89,200.4990
20,4164.19,2869.0,45.14,45.61,201.0949
21,4137.60,2869.0,44.22,45.25,208.3293
22,4096.37,2869.0,42.78,44.62,211.7556
23,4096.37,2869.0,42.78,44.02,211.7556
24,4070.20,2869.0,41.87,43.36,218.1657
25,4028.79,2869.0,40.42,42.41,224.3172
26,4028.79,2869.0,40.42,41.66,224.3172
27,4024.05,2869.0,40.26,41.15,226.3071
28,4032.88,2869.0,40.57,40.71,227.9596
29,4032.88,2869.0,40.57,40.45,227.9596
30,3992.94,2869.0,39.18,40.20,236.4485
31,3989.42,2869.0,39.05,39.92,237.5919
32,3989.42,2869.0,39.05,39.68,237.5919
33,4046.18,2869.0,41.03,39.78,234.4586
34,4002.01,2869.0,39.49,39.56,236.7596
35,4002.01,2869.0,39.49,39.62,236.7596
36,4025.85,2869.0,40.32,39.88,234.4606
37,4006.84,2869.0,39.66,40.00,240.8687
38,4006.84,2869.0,39.66,39.72,240.8687
39,3948.55,2869.0,37.63,39.35,242.6162
40,3938.86,2869.0,37.29,38.91,246.3273
41,3938.86,2869.0,37.29,38.31,246.3273
42,3958.04,2869.0,37.96,37.97,248.0081
43,3961.60,2869.0,38.08,37.65,247.6040
44,3960.34,2869.0,38.04,37.73,247.8586
45,3926.24,2869.0,36.85,37.64,255.9071
46,3880.63,2869.0,35.26,37.24,254.9939
47,3875.86,2869.0,35.09,36.67,255.9253
48,3867.68,2869.0,34.81,36.01,257.9535
49,3853.33,2869.0,34.31,35.26,261.2222
50,3853.18,2869.0,34.30,34.76,262.1091
51,3857.21,2869.0,34.44,34.59,264.4101
52,3878.23,2869.0,35.18,34.61,257.2747
53,3878.89,2869.0,35.20,34.69,257.2990
54,3878.06,2869.0,35.17,34.86,268.4485
55,3883.88,2869.0,35.37,35.07,264.2162
56,3881.20,2869.0,35.28,35.24,265.1758
57,3840.08,2869.0,33.85,34.97,269.3232
58,3794.99,2869.0,32.28,34.39,277.3131
59,3796.83,2869.0,32.34,33.82,275.6545
60,3798.95,2869.0,32.41,33.23,272.6384
61,3797.18,2869.0,32.35,32.65,273.5677
62,3800.72,2869.0,32.48,32.37,275.8727
63,3824.85,2869.0,33.32,32.58,275.7111
64,3837.62,2869.0,33.76,32.86,270.5556
65,3810.02,2869.0,32.80,32.94,276.0182
66,3789.55,2869.0,32.09,32.89,281.1576
