epoch,mean_gap_bks,cql_alpha,ta41,ta42,ta43,ta44,ta45,ta46,ta47,ta48,ta49,elapsed_s
1,43.1749,1.0000,50.7232,53.6913,41.2243,48.5093,43.8658,34.4311,34.7274,36.8095,44.5918,414.5
5,45.2290,1.0000,54.8628,45.5860,48.9166,44.8711,37.6064,48.1038,49.8147,43.7790,33.5204,1952.8
10,45.9566,0.2500,62.8928,35.5705,42.7952,53.7645,47.1207,50.2495,43.1975,44.1920,33.8265,3904.1
15,48.2143,0.2500,50.5736,40.4233,62.1885,54.4720,48.1723,51.2974,37.3213,47.0315,42.4490,5801.5
20,47.3036,0.2500,64.0399,52.2974,50.8667,32.9459,51.3771,41.7166,50.5558,38.6164,43.3163,7680.9
25,48.5938,0.2500,61.6958,44.6567,52.6002,42.4457,42.4136,45.6088,48.7030,42.2303,56.9898,9622.7
30,40.6380,0.2500,35.1122,42.3851,38.1365,38.1506,44.2163,34.1317,39.5977,46.2571,47.7551,11653.3
35,36.4479,0.2500,35.6608,43.4693,34.9946,44.8206,37.3060,35.1297,38.8036,29.5302,28.3163,13612.1
40,35.4886,0.2500,23.9401,42.2303,35.6446,43.5068,35.2529,41.9162,35.2567,36.2416,25.4082,15498.0
45,37.3117,0.2500,32.1696,42.5400,34.8321,31.5311,38.7081,32.4351,49.4971,40.0620,34.0306,17476.3
50,35.5634,0.2500,32.9676,46.7734,29.2524,37.3926,30.4957,42.5150,35.3097,35.3640,30.0000,19410.2
55,35.4698,0.2500,28.9776,30.9241,42.6327,34.6640,51.7777,37.8244,31.9746,29.8916,30.5612,21349.9
60,33.6778,0.2500,29.1272,39.2359,33.9112,33.9565,32.4987,37.0259,31.9746,35.8802,29.4898,23504.9
65,34.2203,0.2500,28.3292,24.2643,35.0488,29.2572,41.8628,39.9701,36.2626,41.5591,31.4286,25596.4
70,32.6883,0.2500,25.2868,41.0945,37.5948,34.6134,28.3926,29.3413,30.9688,31.6985,35.2041,27495.8
75,33.3271,0.2500,26.8329,45.5343,47.1831,35.9778,27.0906,32.1357,28.0042,29.6851,27.5000,29422.9
80,33.9658,0.2500,31.4713,40.3717,34.1820,29.9141,31.0966,37.4750,35.1509,35.6737,30.3571,31458.4
85,32.3275,0.2500,26.4339,33.3505,39.7075,41.8393,24.2864,33.5828,33.0334,29.4786,29.2347,33375.2
90,34.9917,0.2500,40.3491,31.8018,38.2449,51.7938,32.2984,35.0299,30.3335,28.0330,27.0408,35397.6
95,36.3059,0.2500,34.1646,38.2034,33.4236,46.9934,32.9494,39.7206,27.2631,39.4941,34.5408,37297.6
100,33.9007,0.2500,32.9676,36.9644,32.3402,30.0657,40.3605,41.8164,26.9984,27.9298,35.6633,39505.0
105,34.1786,0.2500,23.4414,42.6433,31.3109,44.8711,25.8888,40.8683,40.8682,31.3887,26.3265,41508.2
110,34.2964,0.2500,39.8005,38.2034,35.0488,31.2279,24.8373,38.9222,33.2451,33.4538,33.9286,43476.2
115,33.2282,0.2500,30.5736,32.0083,42.9577,37.4432,27.3410,36.4271,32.6098,34.6928,25.0000,45428.5
120,34.7428,0.2500,31.8204,34.6412,37.1073,28.1455,33.6004,33.7325,50.5029,27.9814,35.1531,47498.1
125,33.6490,0.2500,41.1970,33.1440,30.6067,30.4194,29.4942,36.2275,31.9217,33.3505,36.4796,49594.0
130,32.2184,0.2500,28.0798,28.0330,34.3445,40.8792,19.4792,40.1198,31.0217,30.3046,37.7041,51509.0
