iteration,makespan,bks,optimality gap,rolling_avg,reward_mean
1,3016.09,1937.0,55.71,55.71,8.1399
2,3028.43,1937.0,56.35,56.03,2.9313
3,2989.79,1937.0,54.35,55.47,5.4929
4,3009.00,1937.0,55.34,55.44,3.6020
5,2998.93,1937.0,54.82,55.31,13.8343
6,3023.97,1937.0,56.12,55.40,14.4848
7,3002.11,1937.0,54.99,55.12,12.9010
8,2983.74,1937.0,54.04,55.06,20.2343
9,2959.70,1937.0,52.80,54.55,19.7980
10,2976.85,1937.0,53.68,54.32,21.2404
11,2974.46,1937.0,53.56,53.81,21.5778
12,2956.25,1937.0,52.62,53.34,21.0808
13,2902.13,1937.0,49.83,52.50,31.4424
14,2887.50,1937.0,49.07,51.75,30.0040
15,2883.85,1937.0,48.88,50.79,32.3030
16,2866.69,1937.0,48.00,49.68,35.6101
17,2875.13,1937.0,48.43,48.84,40.3899
18,2838.07,1937.0,46.52,48.18,46.4949
19,2810.86,1937.0,45.11,47.39,43.1354
20,2811.50,1937.0,45.15,46.64,46.3818
21,2799.55,1937.0,44.53,45.95,51.1071
22,2778.19,1937.0,43.43,44.95,53.0646
23,2780.22,1937.0,43.53,44.35,53.0283
24,2810.18,1937.0,45.08,44.34,54.5302
25,2790.59,1937.0,44.07,44.13,57.6871
26,2777.61,1937.0,43.40,43.90,55.2222
27,2815.26,1937.0,45.34,44.28,47.2283
28,2795.16,1937.0,44.30,44.44,54.6101
29,2772.44,1937.0,43.13,44.05,62.0646
30,2754.51,1937.0,42.20,43.68,60.4545
31,2719.41,1937.0,40.39,43.07,62.1697
32,2738.71,1937.0,41.39,42.28,64.4384
33,2746.14,1937.0,41.77,41.78,62.1818
34,2761.66,1937.0,42.57,41.67,67.1737
35,2728.34,1937.0,40.85,41.40,69.4222
36,2686.81,1937.0,38.71,41.06,73.8323
37,2669.53,1937.0,37.82,40.35,77.4521
38,2684.36,1937.0,38.58,39.71,76.0848
39,2664.61,1937.0,37.56,38.71,76.5030
40,2655.29,1937.0,37.08,37.95,79.5172
41,2683.84,1937.0,38.56,37.92,80.2949
42,2669.36,1937.0,37.81,37.92,82.0545
43,2688.41,1937.0,38.79,37.96,79.4606
44,2685.10,1937.0,38.62,38.17,79.3414
45,2661.28,1937.0,37.39,38.23,78.0303
46,2664.46,1937.0,37.56,38.03,80.2444
47,2642.82,1937.0,36.44,37.76,82.8756
48,2672.42,1937.0,37.97,37.59,81.8004
49,2653.62,1937.0,37.00,37.27,82.6364
50,2673.49,1937.0,38.02,37.40,80.3556
51,2668.02,1937.0,37.74,37.43,82.9434
52,2649.14,1937.0,36.77,37.50,87.8808
53,2636.29,1937.0,36.10,37.13,84.4020
54,2638.52,1937.0,36.22,36.97,82.7091
55,2646.01,1937.0,36.60,36.69,84.6485
56,2625.75,1937.0,35.56,36.25,87.9333
57,2639.32,1937.0,36.26,36.15,89.3113
58,2616.87,1937.0,35.10,35.95,89.1771
59,2621.61,1937.0,35.34,35.77,88.7576
60,2622.17,1937.0,35.37,35.53,86.6505
61,2606.68,1937.0,34.57,35.33,89.6970
62,2624.93,1937.0,35.52,35.18,88.2566
63,2626.23,1937.0,35.58,35.28,90.8020
64,2587.73,1937.0,33.59,34.93,93.5798
65,2578.30,1937.0,33.11,34.47,96.9515
66,2605.34,1937.0,34.50,34.46,95.7146
67,2581.42,1937.0,33.27,34.01,97.4035
68,2584.96,1937.0,33.45,33.59,93.5273
69,2600.13,1937.0,34.23,33.71,94.6000
70,2598.41,1937.0,34.15,33.92,93.1859
71,2602.51,1937.0,34.36,33.89,93.8242
72,2591.47,1937.0,33.79,34.00,97.7152
73,2579.62,1937.0,33.18,33.94,99.0323
74,2570.67,1937.0,32.71,33.64,98.0040
75,2573.94,1937.0,32.88,33.38,98.5838
76,2567.16,1937.0,32.53,33.02,98.5565
77,2597.61,1937.0,34.10,33.08,97.5535
78,2560.38,1937.0,32.18,32.88,100.8707
79,2551.09,1937.0,31.70,32.68,99.0283
80,2556.33,1937.0,31.97,32.50,97.0808
