iteration,makespan,bks,optimality gap,rolling_avg,reward_mean
1,2882.32,1937.0,48.80,48.80,44.0859
2,2852.80,1937.0,47.28,48.04,39.7838
3,2850.50,1937.0,47.16,47.75,44.6283
4,2777.00,1937.0,43.37,46.65,47.0485
5,2797.11,1937.0,44.40,46.20,50.9535
6,2789.69,1937.0,44.02,45.25,50.5616
7,2784.94,1937.0,43.78,44.55,55.2747
8,2781.77,1937.0,43.61,43.84,54.2141
9,2758.60,1937.0,42.42,43.65,57.7030
10,2742.45,1937.0,41.58,43.08,61.0289
11,2748.83,1937.0,41.91,42.66,62.6182
12,2733.28,1937.0,41.11,42.13,66.4081
13,2726.91,1937.0,40.78,41.56,60.4545
14,2760.66,1937.0,42.52,41.58,61.8465
15,2711.33,1937.0,39.98,41.26,69.2545
16,2719.76,1937.0,40.41,40.96,72.8566
17,2698.43,1937.0,39.31,40.60,73.8687
18,2688.04,1937.0,38.77,40.20,74.9273
19,2684.30,1937.0,38.58,39.41,75.4450
20,2655.59,1937.0,37.10,38.83,77.3515
21,2652.78,1937.0,36.95,38.14,73.4626
22,2672.41,1937.0,37.97,37.87,77.4707
23,2662.70,1937.0,37.47,37.61,84.8768
24,2615.75,1937.0,35.04,36.90,84.1879
25,2612.69,1937.0,34.88,36.46,85.2000
26,2625.51,1937.0,35.55,36.18,88.8054
27,2611.67,1937.0,34.83,35.55,86.2274
28,2648.71,1937.0,36.74,35.41,87.7495
29,2630.72,1937.0,35.81,35.56,92.0747
30,2617.45,1937.0,35.13,35.61,89.4525
31,2625.49,1937.0,35.54,35.61,91.8081
32,2579.59,1937.0,33.17,35.28,93.5010
33,2569.52,1937.0,32.65,34.46,96.5071
34,2567.11,1937.0,32.53,33.81,96.2418
35,2585.73,1937.0,33.49,33.48,97.0909
36,2576.48,1937.0,33.01,32.97,99.9232
37,2569.40,1937.0,32.65,32.87,100.4505
38,2558.54,1937.0,32.09,32.75,99.7535
39,2565.67,1937.0,32.46,32.74,103.2323
40,2523.63,1937.0,30.29,32.10,102.4970
41,2556.35,1937.0,31.97,31.89,104.3520
42,2535.74,1937.0,30.91,31.54,105.0984
43,2555.98,1937.0,31.96,31.52,102.3455
44,2568.13,1937.0,32.58,31.54,105.5333
45,2553.60,1937.0,31.83,31.85,101.1677
46,2556.89,1937.0,32.00,31.86,102.2283
47,2541.89,1937.0,31.23,31.92,101.2081
48,2525.59,1937.0,30.39,31.61,102.9293
49,2557.40,1937.0,32.03,31.50,104.5508
50,2566.80,1937.0,32.51,31.63,105.6444
51,2542.61,1937.0,31.27,31.48,106.2343
52,2530.65,1937.0,30.65,31.37,104.1232
53,2536.69,1937.0,30.96,31.48,106.3273
54,2520.56,1937.0,30.13,31.10,106.8970
55,2536.83,1937.0,30.97,30.79,102.6081
56,2510.49,1937.0,29.61,30.46,107.9175
57,2535.56,1937.0,30.90,30.51,106.2525
58,2531.16,1937.0,30.67,30.46,108.2485
59,2522.86,1937.0,30.25,30.48,106.3273
60,2521.60,1937.0,30.18,30.32,107.4040
61,2539.11,1937.0,31.08,30.62,107.6646
62,2523.75,1937.0,30.29,30.50,102.0323
63,2538.85,1937.0,31.07,30.57,106.1899
64,2515.88,1937.0,29.89,30.50,109.6725
65,2537.23,1937.0,30.99,30.66,109.2587
66,2506.85,1937.0,29.42,30.33,108.8525
67,2504.76,1937.0,29.31,30.13,110.4465
68,2517.53,1937.0,29.97,29.91,108.4606
69,2527.45,1937.0,30.48,30.03,108.1899
70,2526.11,1937.0,30.41,29.92,106.8182
71,2532.85,1937.0,30.76,30.19,106.6031
72,2512.33,1937.0,29.70,30.27,108.8595
73,2507.27,1937.0,29.44,30.16,111.1333
74,2517.62,1937.0,29.98,30.06,108.3859
75,2522.37,1937.0,30.22,30.02,109.6343
76,2509.60,1937.0,29.56,29.78,111.5434
77,2493.23,1937.0,28.72,29.58,111.6323
78,2503.75,1937.0,29.26,29.55,112.4970
79,2512.41,1937.0,29.71,29.49,110.5525
80,2487.07,1937.0,28.40,29.13,112.8444
81,2488.44,1937.0,28.47,28.91,116.0303
82,2485.17,1937.0,28.30,28.83,112.0020
83,2501.40,1937.0,29.14,28.80,111.0909
84,2493.82,1937.0,28.75,28.61,113.4141
85,2463.19,1937.0,27.17,28.36,115.4929
86,2474.00,1937.0,27.72,28.21,114.9662
87,2496.90,1937.0,28.91,28.34,118.0956
88,2488.04,1937.0,28.45,28.20,115.9111
89,2481.45,1937.0,28.11,28.07,116.5030
90,2477.32,1937.0,27.89,28.22,117.5010
91,2482.58,1937.0,28.17,28.30,115.0162
92,2501.57,1937.0,29.15,28.35,116.9778
93,2488.94,1937.0,28.49,28.36,118.6970
94,2473.66,1937.0,27.71,28.28,118.4835
95,2504.97,1937.0,29.32,28.57,116.3212
96,2489.88,1937.0,28.54,28.64,116.3919
97,2494.01,1937.0,28.76,28.56,115.2667
98,2500.45,1937.0,29.09,28.68,115.4061
99,2483.07,1937.0,28.19,28.78,114.1152
100,2489.35,1937.0,28.52,28.62,114.9394
101,2474.31,1937.0,27.74,28.46,115.8806
102,2481.06,1937.0,28.09,28.32,115.4820
103,2509.76,1937.0,29.57,28.42,115.1899
104,2494.42,1937.0,28.78,28.54,114.3293
105,2512.02,1937.0,29.69,28.77,112.8364
106,2530.22,1937.0,30.63,29.35,114.2101
107,2495.52,1937.0,28.83,29.50,112.8646
108,2489.90,1937.0,28.54,29.29,116.7333
109,2477.99,1937.0,27.93,29.12,115.3337
110,2487.33,1937.0,28.41,28.87,117.0323
111,2483.66,1937.0,28.22,28.39,118.2525
112,2469.96,1937.0,27.51,28.12,117.6343
113,2473.37,1937.0,27.69,27.95,115.6465
114,2505.24,1937.0,29.34,28.24,116.2869
115,2481.92,1937.0,28.13,28.18,118.8727
116,2463.33,1937.0,27.17,27.97,119.5785
117,2457.86,1937.0,26.89,27.84,118.0453
118,2486.41,1937.0,28.36,27.98,119.4061
119,2456.49,1937.0,26.82,27.48,122.9414
120,2463.52,1937.0,27.18,27.29,117.5980
121,2476.30,1937.0,27.84,27.42,121.1535
122,2467.75,1937.0,27.40,27.52,120.5596
123,2460.02,1937.0,27.00,27.25,123.0054
124,2455.34,1937.0,26.76,27.24,121.2288
125,2453.72,1937.0,26.68,27.14,123.6182
126,2450.43,1937.0,26.51,26.87,127.6566
127,2428.97,1937.0,25.40,26.47,129.7293
