iteration,episode_reward_mean,makespan,optimality_gap,time_elapsed_sec
1,nan,,,28.29195261001587
2,183.55988455988413,,,57.56228566169739
3,183.55988455988413,,,86.6258385181427
4,187.7691197691193,,,115.50317311286926
5,194.31120731120686,,,144.74865078926086
6,194.31120731120686,,,173.97530817985535
7,195.32395382395333,,,202.82995414733887
8,195.34476436967492,,,231.70601224899292
9,196.09004329004284,,,261.09330534935
10,197.8003848003843,,,289.9804584980011
11,197.80038480038434,,,318.73003816604614
12,198.68810554524794,,,347.57891821861267
